ID,x,y,kmeans
spot_0,8703,9235,5
spot_1,9743,3483,1
spot_2,4364,8714,0
spot_3,7811,2805,3
spot_4,8295,3079,3
spot_5,11442,5131,1
spot_6,10095,2165,6
spot_7,10025,8879,0
spot_8,8108,10139,5
spot_9,9197,10754,5
spot_10,7701,4121,0
spot_11,8913,5081,3
spot_12,10500,7906,3
spot_13,7094,3503,0
spot_14,3385,6646,0
spot_15,9615,2446,1
spot_16,6885,7657,2
spot_17,11124,10878,3
spot_18,10504,8460,3
spot_19,10728,6244,1
spot_20,4377,10375,0
spot_21,10613,7006,3
spot_22,5458,10021,0
spot_23,8083,6818,0
spot_24,10342,2994,1
spot_25,8058,3496,3
spot_26,10336,2302,6
spot_27,11234,9423,3
spot_28,3858,5535,4
spot_29,6129,3233,0
spot_30,5824,10641,0
spot_31,10588,3684,1
spot_32,10123,5902,1
spot_33,9281,5978,3
spot_34,5551,6491,2
spot_35,5532,3999,2
spot_36,3889,9549,0
spot_37,8784,4044,1
spot_38,3860,5811,4
spot_39,7092,3226,0
spot_40,10281,10815,0
spot_41,7977,8687,5
spot_42,7737,8827,5
spot_43,4361,8299,0
spot_44,6422,10152,4
spot_45,8325,6954,0
spot_46,7020,9525,5
spot_47,9052,7641,0
spot_48,10502,8183,3
spot_49,9495,2516,1
spot_50,7957,6057,0
spot_51,9064,9163,4
spot_52,11812,6305,1
spot_53,5216,9885,0
spot_54,4568,3868,2
spot_55,4230,6985,4
spot_56,8538,3354,3
spot_57,6629,5721,4
spot_58,5760,2198,0
spot_59,2898,5957,0
spot_60,6753,6205,4
spot_61,6484,2469,0
spot_62,4360,8161,0
spot_63,5809,8703,4
spot_64,6904,10149,5
spot_65,9268,4317,1
spot_66,4498,10444,0
spot_67,3399,8445,0
spot_68,8306,4463,3
spot_69,6023,5103,2
spot_70,9994,4727,1
spot_71,6134,3926,4
spot_72,8819,8611,4
spot_73,3747,6712,0
spot_74,8059,3634,3
spot_75,3369,4569,4
spot_76,9750,4313,1
spot_77,4470,6845,4
spot_78,6137,4341,4
spot_79,8589,9997,5
spot_80,11704,7897,3
spot_81,5932,9049,4
spot_82,4735,10027,0
spot_83,10709,3752,1
spot_84,10363,5762,1
spot_85,6976,3850,0
spot_86,3400,8583,0
spot_87,10462,2924,6
spot_88,4330,4285,2
spot_89,4456,4907,2
spot_90,9379,3140,1
spot_91,10719,5136,1
