ID,x,y,kmeans
spot_0,16265,19934,1
spot_1,18526,7893,0
spot_2,7178,18782,2
spot_3,14487,6446,0
spot_4,15497,7025,0
spot_5,14237,9202,4
spot_6,16762,11230,0
spot_7,20049,17175,0
spot_8,12973,7898,4
spot_9,12477,16601,4
spot_10,20551,13693,1
spot_11,20300,15289,1
spot_12,14999,14858,3
spot_13,14993,7896,0
spot_14,6163,12110,4
spot_15,10954,7319,0
spot_16,19288,12969,1
spot_17,9698,14138,4
spot_18,9693,8916,4
spot_19,16508,9055,0
spot_20,6163,12691,4
spot_21,12973,7317,4
spot_22,14750,18775,0
spot_23,14246,19066,4
spot_24,7177,17912,2
spot_25,15504,15148,3
spot_26,20049,17755,0
spot_27,14745,13263,3
spot_28,17023,19788,1
spot_29,7674,8628,4
spot_30,6923,15156,3
spot_31,16002,7605,0
spot_32,11968,12540,2
spot_33,12221,13555,2
spot_34,7177,17621,2
spot_35,10207,18779,4
spot_36,17518,9634,0
spot_37,15499,9926,4
spot_38,10705,11236,4
spot_39,19033,10503,4
spot_40,10955,8770,0
spot_41,16517,18628,0
spot_42,5912,14576,0
spot_43,14993,8186,0
spot_44,18528,9633,0
spot_45,7427,14865,3
spot_46,10956,9640,0
spot_47,16015,21530,2
spot_48,10460,19504,0
spot_49,19792,12678,1
spot_50,12722,8623,4
spot_51,7170,9498,4
spot_52,7423,10804,4
spot_53,20548,11372,4
spot_54,13741,19066,4
spot_55,5661,15302,4
spot_56,9699,15298,4
spot_57,15255,18485,0
spot_58,6670,14431,3
spot_59,19292,17030,1
spot_60,17271,15001,1
spot_61,7683,18491,2
spot_62,17019,15727,1
spot_63,7425,12834,2
spot_64,9700,16169,2
spot_65,8694,20231,0
spot_66,20550,12823,1
spot_67,9446,14573,2
spot_68,17274,18773,0
spot_69,16264,18484,0
spot_70,15500,10796,4
spot_71,15753,11231,4
spot_72,9695,10947,4
spot_73,5915,17187,2
spot_74,12728,15876,3
spot_75,15510,21530,2
spot_76,17522,13986,1
spot_77,13229,11524,2
spot_78,18788,18481,0
spot_79,12478,18632,2
spot_80,17015,11085,0
spot_81,7679,14720,3
spot_82,8689,14719,3
spot_83,10955,9060,0
spot_84,18783,12969,1
spot_85,12728,15005,3
spot_86,10451,9060,0
spot_87,12476,16311,3
spot_88,13480,9348,4
spot_89,12729,16746,4
spot_90,10206,18199,3
spot_91,18533,15726,1
spot_92,17018,15147,1
spot_93,16014,20660,1
spot_94,20552,15724,1
spot_95,18023,10214,0
spot_96,16261,15002,1
spot_97,12476,15731,3
spot_98,18029,16886,1
spot_99,10706,12106,4
spot_100,13490,20952,3
spot_101,10458,17764,3
spot_102,9695,10657,4
spot_103,11210,11816,4
spot_104,10207,18489,4
spot_105,18779,8908,0
spot_106,9953,16894,3
spot_107,14750,18485,0
spot_108,8434,11963,4
spot_109,11965,9639,4
spot_110,15003,19790,0
spot_111,13984,8767,0
spot_112,19287,12099,1
spot_113,14751,20226,4
spot_114,16003,9055,0
spot_115,16767,16743,1
spot_116,18030,17467,1
spot_117,8189,20232,0
spot_118,15247,10071,4
spot_119,20804,15288,1
spot_120,12723,9493,4
spot_121,16762,10650,0
spot_122,20548,10502,4
spot_123,16763,11811,0
spot_124,15759,17614,0
spot_125,5657,11240,4
spot_126,16014,20950,1
spot_127,10460,19794,0
spot_128,12721,8333,4
spot_129,17275,19353,1
spot_130,6920,11965,2
spot_131,13486,16600,4
spot_132,14248,21677,3
spot_133,5659,13851,0
spot_134,20554,17174,0
spot_135,16759,7459,0
spot_136,10209,21100,0
spot_137,13225,6592,0
spot_138,11721,18488,2
spot_139,16506,7314,0
spot_140,15751,9491,0
spot_141,14748,16454,4
spot_142,9444,11962,4
spot_143,9450,18635,3
spot_144,9956,19795,0
spot_145,9950,13703,4
spot_146,8441,19216,4
spot_147,11206,7464,0
spot_148,8433,10223,3
spot_149,17518,9054,0
spot_150,13735,12394,2
spot_151,16513,14277,4
spot_152,9449,18345,3
spot_153,20298,13548,1
spot_154,20300,16159,1
spot_155,16008,14277,3
spot_156,15001,17179,0
spot_157,6925,18347,2
spot_158,6418,14866,3
spot_159,16263,17033,1
spot_160,14749,17325,0
spot_161,11718,15587,3
spot_162,9189,9497,4
spot_163,11208,8915,0
spot_164,16010,16018,1
spot_165,10957,10510,4
spot_166,19040,17756,0
spot_167,14748,16164,3
spot_168,14236,8042,0
spot_169,12723,9784,2
spot_170,18023,9634,0
spot_171,16517,19209,1
spot_172,10710,17038,4
spot_173,9697,13268,4
spot_174,14750,18195,0
spot_175,7174,14430,3
spot_176,9696,12397,4
spot_177,8433,10803,3
spot_178,9948,11382,4
spot_179,13995,21242,3
spot_180,11466,15442,4
spot_181,10456,15443,4
spot_182,16763,12101,0
spot_183,16760,8619,0
spot_184,5407,13417,4
spot_185,6164,13561,4
spot_186,18537,19497,1
spot_187,6167,16752,2
spot_188,16510,10796,0
spot_189,15244,7170,0
spot_190,8941,14284,2
spot_191,11711,6883,4
spot_192,17522,13406,1
spot_193,14246,19936,4
spot_194,14241,14134,3
spot_195,13985,10508,2
spot_196,15001,16889,0
spot_197,5914,16027,4
spot_198,13742,20227,3
spot_199,16512,13987,4
spot_200,17016,12246,1
spot_201,7930,12254,2
spot_202,17777,16451,1
spot_203,11211,12976,3
spot_204,13995,20661,3
spot_205,15757,16163,1
spot_206,15760,18774,0
spot_207,13231,13264,2
spot_208,14739,6881,0
spot_209,14238,11233,2
spot_210,11216,17618,3
spot_211,9946,8771,4
spot_212,18789,19642,1
spot_213,19032,9343,0
spot_214,18027,14566,1
spot_215,13236,19647,2
spot_216,14239,12103,2
spot_217,18278,12970,1
spot_218,15758,17324,0
spot_219,6922,14576,3
spot_220,5911,12836,0
spot_221,10708,14717,4
spot_222,12731,18487,2
spot_223,14752,20516,3
spot_224,15255,19355,0
spot_225,16256,9490,0
spot_226,11713,9494,4
spot_227,13995,21532,3
spot_228,20803,13548,1
spot_229,12228,21388,4
spot_230,15245,7751,0
spot_231,11712,8624,0
spot_232,19790,10067,4
spot_233,5915,16897,2
spot_234,16254,7750,0
spot_235,10713,20229,0
spot_236,9196,16749,3
spot_237,9951,14283,4
spot_238,12732,19937,2
spot_239,12977,11379,2
spot_240,6166,15302,3
spot_241,9957,20955,0
spot_242,17780,19933,1
spot_243,11969,13991,3
spot_244,7933,15735,3
spot_245,14495,15439,3
spot_246,16007,13697,4
spot_247,13985,9637,4
spot_248,12222,14136,3
spot_249,10713,19649,0
spot_250,13477,7027,0
spot_251,7422,9063,4
spot_252,19038,16015,1
spot_253,18029,16596,1
spot_254,16765,13841,1
spot_255,17017,13116,1
spot_256,16010,16308,1
spot_257,15498,8766,0
spot_258,6165,14721,0
spot_259,11970,14861,3
spot_260,13993,19211,4
spot_261,7931,14285,2
spot_262,13990,15149,3
spot_263,13481,10798,2
spot_264,5659,12981,0
spot_265,11976,21534,4
spot_266,18782,11519,0
spot_267,7175,15011,3
spot_268,9948,11092,4
spot_269,18783,13259,1
spot_270,16266,20224,1
spot_271,7176,15881,3
spot_272,18529,11084,0
spot_273,18787,17611,0
spot_274,9951,15153,4
spot_275,5910,11385,4
spot_276,19537,9342,4
spot_277,15497,7605,0
spot_278,11723,20228,2
spot_279,18028,15146,1
spot_280,15756,15293,3
spot_281,16003,8475,0
spot_282,12729,16456,3
spot_283,14243,16455,3
spot_284,12728,15296,3
spot_285,18031,18627,0
spot_286,15506,17179,0
spot_287,7680,15300,3
spot_288,11214,16457,4
spot_289,10452,10801,4
spot_290,6161,10370,4
spot_291,11969,13120,2
spot_292,11213,14427,3
spot_293,6918,9644,4
spot_294,7170,9789,4
spot_295,12730,18197,2
spot_296,13230,12684,2
spot_297,15254,18194,0
spot_298,19040,17466,0
spot_299,10457,16023,4
spot_300,14242,15584,3
spot_301,10958,12251,2
spot_302,14739,6591,0
