"x","y","z"
16265,19934,"tumor"
18526,7893,NA
7178,18782,"fibrous"
14487,6446,"fibrous"
15497,7025,"fibrous"
14237,9202,"fibrous"
16762,11230,"immune"
20049,17175,"fibrous"
12973,7898,NA
12477,16601,NA
20551,13693,"tumor"
20300,15289,"tumor"
14999,14858,"tumor"
14993,7896,"fat"
6163,12110,NA
10954,7319,"immune"
19288,12969,"necrosis"
9698,14138,NA
9693,8916,NA
16508,9055,NA
6163,12691,NA
12973,7317,"fibrous"
14750,18775,"necrosis"
14246,19066,"necrosis"
7177,17912,NA
15504,15148,"tumor"
20049,17755,"fibrous"
14745,13263,"tumor"
17023,19788,NA
7674,8628,NA
6923,15156,"tumor"
16002,7605,"fibrous"
11968,12540,NA
12221,13555,NA
7177,17621,NA
10207,18779,NA
17518,9634,"immune"
15499,9926,"fibrous"
10705,11236,"fibrous"
19033,10503,NA
10955,8770,NA
16517,18628,NA
5912,14576,NA
14993,8186,NA
18528,9633,"immune"
7427,14865,"tumor"
10956,9640,NA
16015,21530,NA
10460,19504,NA
19792,12678,"necrosis"
12722,8623,NA
7170,9498,"tumor"
7423,10804,NA
20548,11372,NA
13741,19066,NA
5661,15302,NA
9699,15298,NA
15255,18485,"necrosis"
6670,14431,"immune"
19292,17030,"fibrous"
17271,15001,NA
7683,18491,"tumor"
17019,15727,NA
7425,12834,NA
9700,16169,NA
8694,20231,"fibrous"
20550,12823,NA
9446,14573,NA
17274,18773,"fibrous"
16264,18484,NA
15500,10796,NA
15753,11231,"fibrous"
9695,10947,"fibrous"
5915,17187,NA
12728,15876,NA
15510,21530,NA
17522,13986,NA
13229,11524,"tumor"
18788,18481,NA
12478,18632,"tumor"
17015,11085,"immune"
7679,14720,"tumor"
8689,14719,NA
10955,9060,NA
18783,12969,"necrosis"
12728,15005,NA
10451,9060,"fibrous"
12476,16311,"immune"
13480,9348,"tumor"
12729,16746,NA
10206,18199,"fat"
18533,15726,"tumor"
17018,15147,NA
16014,20660,NA
20552,15724,NA
18023,10214,"immune"
16261,15002,NA
12476,15731,NA
18029,16886,NA
10706,12106,NA
13490,20952,NA
10458,17764,NA
9695,10657,"fibrous"
11210,11816,"tumor"
10207,18489,NA
18779,8908,NA
9953,16894,NA
14750,18485,"necrosis"
8434,11963,NA
11965,9639,NA
15003,19790,"necrosis"
13984,8767,"fat"
19287,12099,"necrosis"
14751,20226,NA
16003,9055,NA
16767,16743,NA
18030,17467,NA
8189,20232,"fibrous"
15247,10071,NA
20804,15288,"fibrous"
12723,9493,"tumor"
16762,10650,"immune"
20548,10502,"fibrous"
16763,11811,NA
15759,17614,"necrosis"
5657,11240,NA
16014,20950,NA
10460,19794,"tumor"
12721,8333,NA
17275,19353,NA
6920,11965,NA
13486,16600,NA
14248,21677,"tumor"
5659,13851,"fat"
20554,17174,"fibrous"
16759,7459,"fibrous"
10209,21100,"fat"
13225,6592,"immune"
11721,18488,NA
16506,7314,NA
15751,9491,"fibrous"
14748,16454,"fibrous"
9444,11962,NA
9450,18635,NA
9956,19795,NA
9950,13703,NA
8441,19216,"fibrous"
11206,7464,"immune"
8433,10223,"tumor"
17518,9054,"immune"
13735,12394,NA
16513,14277,NA
9449,18345,NA
20298,13548,"tumor"
20300,16159,"fibrous"
16008,14277,"tumor"
15001,17179,"necrosis"
6925,18347,"tumor"
6418,14866,"tumor"
16263,17033,"tumor"
14749,17325,"necrosis"
11718,15587,"immune"
9189,9497,NA
11208,8915,NA
16010,16018,"fibrous"
10957,10510,"fibrous"
19040,17756,"fibrous"
14748,16164,NA
14236,8042,NA
12723,9784,NA
18023,9634,"immune"
16517,19209,NA
10710,17038,NA
9697,13268,NA
14750,18195,"necrosis"
7174,14430,"tumor"
9696,12397,NA
8433,10803,"tumor"
9948,11382,"fibrous"
13995,21242,"tumor"
11466,15442,NA
10456,15443,NA
16763,12101,NA
16760,8619,"fibrous"
5407,13417,"fat"
