"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.49656879928949e-42,2.37862725671694,0.16,0.018,7.75259509243364e-38,"1","Mettl7a3"
2.56656085946198e-24,2.27911192506068,0.253,0.099,7.96994143688729e-20,"1","Krt6b"
3.68522010578157e-22,2.25484363153038,0.427,0.233,1.14437139944835e-17,"1","Psca"
1.09886465187174e-19,2.7755061922048,0.1,0.02,3.4123044034573e-15,"1","Prss27"
1.63753528019064e-17,2.28582449313985,0.327,0.173,5.085038305576e-13,"1","Ppbp"
1.56621576900652e-87,2.66881895751767,0.478,0.147,4.86356982749595e-83,"2","Acaa1b"
2.54127213898985e-69,2.38808077394473,0.397,0.11,7.89141237320518e-65,"2","Cyp4b1"
1.37984108928544e-58,2.64972696143581,0.302,0.064,4.28482053455806e-54,"2","Ugt2b5"
7.68380739827617e-57,2.6502026738554,0.285,0.057,2.3860527113867e-52,"2","Defb37"
5.15888374557806e-50,2.36386441563547,0.314,0.092,1.60198816951435e-45,"2","Cyp2c65"
8.0091128783179e-26,3.55072071785736,0.247,0.092,2.48706982210406e-21,"3","Mmp3"
9.27341673408095e-21,3.41661023268071,0.257,0.114,2.87967409843416e-16,"3","Cd79b"
4.58698114560193e-17,3.62587627136701,0.167,0.06,1.42439525514377e-12,"3","Fcer2a"
9.79049335608243e-13,3.45820467676218,0.133,0.049,3.04024190186428e-08,"3","Cd19"
1.97159828224554e-10,3.69048289649008,0.124,0.05,6.12240414585708e-06,"3","Cd72"
1.27001841058163e-09,3.33559481275929,0.235,0.049,3.94378817037912e-05,"5","Dkk2"
1.50650254092813e-09,1.89222629082125,0.569,0.25,4.67814234034414e-05,"5","Atp1a2"
9.9770283720168e-09,2.11389117639631,0.471,0.196,0.000309816662036238,"5","Grem1"
9.16473906261322e-08,2.52441791687625,0.333,0.114,0.00284592642111328,"5","Gm32592"
8.39832583384576e-07,2.26185660091781,0.392,0.174,0.0260793212118412,"5","Ift80"
