"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","method"
1.19400374271004e-89,2.67585710288474,0.367,0.06,3.70773982223748e-85,"0","Defb37","STAMarker"
2.29990534442468e-95,2.12362474564667,0.548,0.177,7.14189606604196e-91,"0","Acaa1b","STAMarker"
7.78934521981364e-22,2.08847589968238,0.136,0.035,2.41882537110873e-17,"0","Gm2061","STAMarker"
8.19580634633706e-58,2.07722507786351,0.364,0.11,2.54504374472805e-53,"0","Cyp2c65","STAMarker"
5.17040508388145e-70,2.07677671551629,0.361,0.082,1.60556589069771e-65,"0","Ugt2b5","STAMarker"
3.08292416281452e-137,2.31491794937526,0.97,0.692,9.57340440278793e-133,"1","Mptx1","STAMarker"
8.78369757498603e-36,2.13797376480048,0.178,0.031,2.72760160796041e-31,"1","Mettl7a3","STAMarker"
1.53048965866727e-135,2.09858435682175,0.943,0.68,4.75262953705946e-131,"1","Tgm3","STAMarker"
4.04407850877673e-24,1.96786658787471,0.126,0.024,1.25580769933044e-19,"1","Capn13","STAMarker"
4.17856897894116e-17,1.95149788043952,0.11,0.027,1.2975710250306e-12,"1","1810063I02Rik","STAMarker"
2.85896947914982e-40,2.17563750295865,0.454,0.226,8.87795792360394e-36,"2","Retnlb","STAMarker"
2.61548297992802e-07,2.06726262573804,0.141,0.079,0.0081218592975705,"2","St3gal5","STAMarker"
1.88509342966558e-11,1.18000391872804,0.306,0.195,5.85378062714052e-07,"2","Ang4","STAMarker"
1.13755019229785e-15,1.03966623476353,0.757,0.715,3.53243461214253e-11,"2","Clca4a","STAMarker"
2.49299357479973e-20,0.740157000810282,0.941,0.945,7.74149294782559e-16,"2","Cnn1","STAMarker"
2.69812333916835e-31,4.49231876979522,0.169,0.014,8.37848240511946e-27,"3","Marco","STAMarker"
7.89990834845303e-44,4.11818658273227,0.484,0.104,2.45315853944512e-39,"3","Mmp3","STAMarker"
6.45367938054717e-20,3.91626786263107,0.177,0.027,2.00406105804131e-15,"3","Hp","STAMarker"
2.16425448088988e-27,3.78628366054485,0.355,0.084,6.72065943950736e-23,"3","Sfrp2","STAMarker"
1.46287412775739e-27,3.63296954196761,0.419,0.119,4.54266302892501e-23,"3","S100a9","STAMarker"
3.16472470718548e-51,4.51416579344287,0.202,0.022,9.82741963322306e-47,"4","Prss27","STAMarker"
4.78599817095464e-41,4.35902160297344,0.182,0.023,1.48619601202655e-36,"4","Dapl1","STAMarker"
1.71820157319797e-43,4.31802535554366,0.338,0.089,5.33553134525164e-39,"4","Lgals7","STAMarker"
3.46449531643353e-16,4.25200762085525,0.118,0.028,1.0758297306121e-11,"4","Ccl19","STAMarker"
4.24103672040672e-57,4.24007648263992,0.344,0.07,1.3169691327879e-52,"4","Calml3","STAMarker"
