"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
"Spink1",0.0545740939549582,0.0618927980423365,0.0573803445193422,0.0635758077343854,0.0852007725762268,-0.0509852490524135,-0.0684210685118744,0.0380959064433939,0.00679137218759197,-0.0604869092679929,0.0413310972809596,-0.0543047163129923,0.0997307470800672,0.126406149967611,0.0723449779003006
"Tagln",0.0171420356774864,0.131187066935841,-0.143403257842677,0.0165651409648055,0.0202845696821767,-0.0726729961786474,-0.00810675165389143,-0.000964350030247974,-0.0538733328326223,0.0439198311232504,-0.0147312564003178,-0.0153099384494345,-0.0227302412925169,0.0457763914709603,-0.0250180927023599
"Cyp2c55",0.0419400353359626,-0.100751611609126,-0.118705996176134,-0.0126300293297807,0.004336923083144,-0.0423959164166273,-0.0235051518505476,0.00395038635172801,0.00736613570420002,-0.0462057521574294,-0.0100962835523771,-0.0258345763480597,-0.0278424211494657,-0.0655936842993201,-0.0153699431901435
"Saa1",0.0572140895868019,0.0388132948501178,0.0279489102725416,0.0120970565398926,0.134301130419254,-0.0804883467139784,-0.0686195285268781,-0.0224246234413137,-0.0122768760145058,-0.0571084538477654,0.00699682096831264,0.0231609750715962,0.0860382582161546,0.00666539309108299,-0.0427709806835746
"mt-Co1",0.0569090215297716,0.0138158247638223,-0.0677531352746236,0.0392392959747051,0.0653921732004711,-0.00436094149702047,-0.0637144840510325,0.00943687465822932,0.00926782812664769,0.0476968889143017,-0.0382055774969879,0.00765716171176959,0.110651669332408,0.0136164154625379,-0.00661530641519845
"Clca1",0.0542735906195402,0.0212841551092792,0.0127556604087192,0.0700076530743217,0.083472420114894,-0.0226132513694985,-0.0553945416406016,0.0262487781142792,-0.034615469624678,-0.0702109989647696,0.03510533927122,-0.0202164196880873,0.0483566035632608,0.0818045573916652,-0.0167081221731604
"Prdx6",0.0558526980511245,0.030642223550895,0.0374140540330806,0.00801837349566631,0.0750336848789596,-0.0316721598023561,-0.0314100685975634,0.0303377505689468,0.0545506522155233,0.00435900520334185,-0.0387942589714519,-0.0682823331044601,0.00275346107215749,-0.0524096033908618,-0.0827766081439259
"Malat1",0.0169749238253382,0.0962014538413631,-0.134086689814945,-0.0201226611261982,0.00981923477646636,0.00667989517291712,-0.00800064907179455,0.0125464833475229,-0.0506022797650739,0.0438965732359288,-0.0277127687485039,-0.0398676818091583,-0.0383787367262843,-0.0508928774925847,0.0252238022113127
"Car4",0.0487724157773354,-0.00456391179369969,-0.029777029251584,0.0489975555005803,0.125243113239519,-0.0609752915212806,-0.0769908526774332,-0.0125072070363504,0.0360005044301238,-0.0445506958520443,-0.0317669998139871,0.0816378600588978,-0.0488297277827312,0.0161710176464093,-0.0640142761980219
"Cnn1",0.0171967979592698,0.109421995406415,-0.136701772134667,0.0163715772653803,0.0211071182325278,-0.048748936820836,-0.00889783436929108,-0.0106660937519843,-0.0747413038077801,0.0452868303844247,0.00583897092459647,-0.0140099873749217,-0.00176201822835561,0.00851749643756814,-0.0361717458567507
"1810065E05Rik",0.0351974460718476,-0.0931948157893502,-0.103635062465756,-0.0152824683161306,3.38336631572461e-05,0.00734282183040951,-0.00035886744894812,0.0189403822565744,-0.0626563779384167,-0.0315659952424581,-0.0441361739062803,0.0200892425563866,0.0725573355988968,0.0298716493401502,-0.0151526327647963
"Ggh",0.0482148227317779,0.0518598587979433,0.0524193206020127,0.0456245386367803,0.0758053660594807,-0.0363115591270959,-0.0406395333976803,0.0146609309162327,-0.00126411651509494,-0.0264267199500391,-0.0090923914092741,-0.0124324512903724,0.0270467496329753,0.0552167728252584,0.0195270815622219
"Aqp8",0.0419372317717391,0.0183921389650523,0.00312336769075032,0.0434460464391869,0.1417790146545,-0.0373279115672254,-0.0342424291259077,-0.0445824064022328,-0.0658871335674499,-0.0953401077450761,-0.0155269949290924,0.0672294543945142,-0.0436295995897126,-0.040584667940294,-0.0841813031341825
"mt-Co2",0.0484338352645445,0.0332204826730406,-0.1060409674581,0.0132829905503126,0.0488475069002355,-0.0700923312695541,-0.0550312940398319,0.00513010715073647,0.0157738838054892,0.0406990211993241,-0.0486328415329254,0.0132519492361046,0.0550913682763248,0.0804031659746522,-0.0124926978652475
"Tgm3",0.0379936062258921,0.0610471175552634,0.051864219130327,0.0674019138624794,0.101342208926719,-0.0076829137768923,-0.0610490675501064,0.00478770910097656,0.0642788499637619,0.00198647963374337,0.0287875988768769,-0.0371552087390333,-0.016685457460621,0.00910787135819494,-0.0518890812969724
"Fcgbp",0.0543589840689405,0.00808056915680362,0.0111387044442909,0.0702367190253083,0.0487120784629074,-0.0132538533955399,-0.0479760786925886,0.0355338476640455,-0.0304912034540312,-0.0644068447150856,0.0257887640648734,-0.0550567820128293,0.0822214689760028,0.0610392854088113,0.0351539670097571
"Sval1",0.0376592504925373,0.0668652440684295,0.0675985173999304,0.101757305675131,0.0244845125249369,-0.0220991237134525,-0.030144904331691,0.00777438075466484,-0.00807701477077302,-0.0338101430192174,-0.022599067163207,-0.0448425648711456,0.0199477446207686,0.0251043147286268,0.138011832915574
"Hmgcs2",0.0271567704512579,-0.101200978175199,-0.10154959721299,-0.000323429514279031,-0.0804631780816826,-0.0259487108368894,-0.0208177380506519,-0.00683474491278264,0.0375645600236283,0.0161212520271052,0.0836858309193717,0.0232930623198603,0.0210825241655272,-0.0255034975774881,-0.107520704477953
"Acta2",0.0186886062558829,0.112931587099712,-0.113489049359951,0.00555784868269108,-0.00370714854995475,-0.0517994149454747,0.000791984905376513,0.021366060101148,-0.0389252180856211,0.0549029683425609,0.00584523857250782,-0.012265403736369,0.000572073895999127,0.0244987887812832,0.0115713389384171
"Hoxb13",0.0348372469178969,0.0784017869267379,0.0807338448108427,0.0481211341562437,0.0114378317274729,-0.0664584114725498,-0.0205350941110864,0.000502815749921401,0.0318431436950114,0.00306604640343158,-0.0720394151989155,-0.032928475358554,-0.0269544351169139,-0.0174158876852864,0.0562813948715283
"Guca2a",0.0448024454894218,-0.0498712576958836,-0.060799384349508,0.047992489550742,0.017544612011629,0.0184576066972922,-0.0142598998156992,0.0108142632598456,-0.10794827024971,-0.0808560118732913,0.016903233429277,0.0284598476020087,0.10040415311468,0.0277966401259847,-0.086096021872157
"Sycn",0.0352812935386255,0.0533454285208283,0.0483174521678408,0.108362893013851,0.0435723082734636,-0.0449675283829635,-0.0454318890719308,-0.0168776129196999,-0.00782827343520358,-0.0427951845774222,-0.0251220511295371,0.0156454403644214,-0.0191105768616713,0.0245078227548263,0.00224806795314753
"Myh11",0.0128852779201277,0.0936287186019465,-0.117667832073063,0.0130071357380939,0.0112147241916856,-0.00678104595123449,0.00615872421566063,-0.00312828779048248,-0.0628119121605952,0.0691538344175291,0.0202930105808314,-0.010540269364779,-0.00950218753640635,-0.0232390027861925,0.00528599763957491
"Actg2",0.0135464601650317,0.0899096580539885,-0.109570369994989,0.0153737120057571,0.0175178525385716,-0.00695691776658445,0.0115911579433691,-0.0164775007017916,-0.0770243417162827,0.0582167875663809,0.00693789936951655,-0.000828627499362287,-0.0040765913260445,-0.030871805794424,-0.0350199556943915
"Selenbp1",0.0454495650448371,-0.050402161968748,-0.0459506778462133,0.0625589993811917,0.0140967869567153,-0.000186642837389403,-0.0687545629660415,0.0404901958140538,0.0612892753357951,-0.00457768494374602,0.0189802870621314,-0.0587483182400404,-0.0105673675010725,-0.0697908065267114,-0.0663862751271559
"Ckb",0.0141230885464507,0.0968089595497042,-0.118396066027423,-0.00823913428521878,0.00399348428487885,-0.0772038803740138,0.00847940062787376,-0.000678391898974822,-0.0157466675405014,0.0581017873991818,0.0362574777355198,-0.0407732848745664,-0.0733397395530826,0.069216203075789,-0.00599269768563075
"Muc3",0.0524580172476169,0.00248286194286063,-0.00225716354796872,0.0318010351455368,0.0323408855276657,-0.0656934025715292,-0.0247251600027752,0.0158468620615146,-0.00130917907679293,-0.0346069774964687,-0.116889384803763,-0.0521896421053179,0.0111401972389368,-0.0293423071147325,0.0508274618995308
"Des",0.0114914721094796,0.0872661145030565,-0.114612775272044,0.016602144908604,0.0134797860403857,-0.00390134758711829,0.00217801944086117,-0.0196429153999636,-0.0770654793862553,0.0424098599916092,-0.00278649089105792,-0.000873258272385248,0.0257519319710913,-0.0393481790269233,-0.0254390410750948
"Krt20",0.047931806539606,-0.0319518977526387,-0.0198520067727131,-0.0388781693827028,0.0516888754367502,-0.0226078417179855,0.0167955699873587,0.0141374592747636,-0.0371052254672795,-0.0430580708459911,-0.0224902689000302,-0.0371267176585673,0.0281894981283513,-0.0199163289947184,-0.0179752912215122
"Zg16",0.0553684340935751,-0.0098446627679345,-0.0210993026040723,0.0830708468675404,0.0484992326047292,-0.0410408020135245,-0.0521535879032877,0.0341085143845132,-0.0296706572814338,-0.103870988973284,0.0640355111257497,-0.0300873399679454,0.0297627466225813,0.0496448228651902,-0.0111751538336884
"AA467197",0.051839957733545,-0.0134802722838706,0.00494017167984371,-0.0239373567803319,0.0113448869148904,-0.0570112320181067,-0.00268388365422152,0.0146116982560579,0.0430684250575926,0.022565307076226,-0.0295579828840408,-0.0293047670110756,0.0497663231259605,-0.00969788645398356,-0.0315989242713656
"Ckmt1",0.0478843303384295,0.0224154307218413,0.0400959304082305,0.0571404226422217,0.0116731292992834,-0.0145924530650845,-0.0308879979378037,0.0240356070853191,0.0295100016625265,-0.00168449772133716,-0.0403437685742351,-0.0735719726290711,-0.0134432387459799,-0.00318805058999699,0.0238936983756933
"Mptx1",0.0220521116068695,0.068416388040028,0.0284307005723602,0.100906697601303,0.0159978095706216,-0.0553817433013164,-0.0492976484022889,-0.0135506832951645,0.0152915094781273,-0.00765150067457824,-0.139829003210969,0.0432385790518623,-0.136189575098572,-0.124073149175742,0.0168498398542721
"Ly6a",0.0405508750057156,0.0387787642167315,0.0598949352324894,-0.0560912694121228,0.0172343397529244,-0.0414517842255867,0.0333625198185093,0.0299136791340942,-0.00389980857910873,-0.0113604691009221,0.0387535872209319,-0.0028555403792074,0.00947591561360431,-0.00197755356723026,-0.0692168647600946
"Mgat4c",0.0387644423133274,-0.0740350111672761,-0.0607660042450481,-0.00167624260059853,-0.0210740355391761,-0.00956824054359466,0.0159396964125712,0.0358237187680357,-0.0352503978260596,-0.0551274653513782,0.0355275769990529,-0.0579439308608577,0.0090371432322783,0.0332176713216724,-0.00314859917260097
"Car1",0.0399209878090337,-0.0954992800209734,-0.102632053394023,-0.0142145351356601,-0.0254326577808078,-0.0268319710247841,-0.0123888098016378,0.0257908626805789,0.0311318025925428,-0.0197573549589143,0.031561512715654,-0.0511571427790114,-0.00763297694001542,-0.0669637129422034,-0.0912291140862584
"Tpm2",0.0182224669439452,0.100551166038649,-0.112635537695329,-0.00326020502093021,0.0061499076361673,-0.0461192436335443,-0.0179518300165762,-0.0012930520787651,-0.05446589608424,0.0498237929552571,0.021606023612911,-0.016180255436656,-0.0232227157879384,0.00445485328749999,-0.0110829738933819
"Igha",0.0281571979534753,0.0232247446277409,0.0360882062287089,0.0886538762221024,-0.0447261862345641,0.0223380179458002,-0.00566544056354137,0.0763633239333125,-0.0458263578234876,-0.123750022625597,0.0313682859696195,0.0680423602896371,0.161405126056884,-0.102581020593467,0.005747090682381
"B3gnt7",0.0291692352250722,0.0683417518646187,0.0676358660753427,0.0897085151799799,-0.0212241765578865,-0.0782487494777502,-0.0246541942813856,-0.0299394215090489,0.0187795878441451,-0.00495870012022548,-0.110825766417819,-0.00439314430356818,-0.0403337061398925,-0.0629968507942545,0.102160862310239
"Atp12a",0.0283699555316505,0.0441517982968958,0.0447582868778311,-0.00269655125298304,0.0955279722063351,-0.0358801718138389,-0.0267379720194428,-0.0261305798915101,0.0967484283361846,0.0584469116165924,0.0459669132367125,0.00748262258144424,0.00114527067684136,-0.0441006053269566,-0.0852338224125925
"Ces2e",0.036404418136521,-0.0651253760112958,-0.0542100097626239,-0.0057593837524731,0.0338055399145825,0.0226640445382656,-0.0227515971670795,0.00751615914906757,-0.0419741011470887,-0.0248379404321653,-0.0272477990811695,0.00430678438221983,0.0648408193635166,0.0028059581935677,0.00247839203384424
"S100g",0.0218156113325385,-0.0498042736227255,-0.0532273714452222,-0.0011636362796436,-0.0004460094900465,0.00317196354564837,-0.0558775381811747,0.0172869364320593,0.173957655904359,0.132382577701346,-0.0221307929685661,0.0532917289902383,0.0493244058286091,-0.0382574774359073,-0.0502515802835732
"Pmp22",0.0457215961891792,-0.00285984343609474,-0.00137250610571455,-0.0166846663028022,0.069110581425821,0.00192866968582911,0.00825039926811236,0.0173275886541753,-0.0472640809351962,-0.0539564029837905,-0.0383645792844933,-0.0314179959832176,0.0419021560425259,-0.0156014369278837,0.0122033609905607
"Myl9",0.0112043823042633,0.0897731379511947,-0.101256372095175,0.018919644257958,0.00477075522518037,0.0150908378448056,0.0185105630236527,0.00474096259159164,-0.0577749206601038,0.0656414128262904,0.00928940752422747,-0.0141685629105842,0.0283498341854444,-0.0468046697441961,0.00165222010596071
"S100a14",0.0380682744126313,0.043628111809979,0.0691578047181704,-0.0479062926348634,-0.00498388817075274,-0.0409114818953281,-0.00194599047621821,-0.00357019070837549,-0.00344594850410734,-0.0169030615539069,0.00432442355502764,-0.0588952004030475,-0.0236635317483574,0.000875600962842081,0.0197356570549588
"Ltf",0.0142737215226067,0.0314734278129234,0.0317898988772063,-0.117812227342469,-0.0419265409341308,-0.00601107956410146,-0.171991262427429,-0.0201855966985445,-0.0211931679012314,-0.00579606615114233,0.0257233545468645,-0.063363741583826,0.0308292886914714,0.0552959658663143,0.00368650969694303
"Slc26a3",0.0428494399365979,0.00387087959842546,-0.00208310668150051,0.0539891915346008,0.0908824459622461,-0.0164417094690687,-0.0333975687259768,-0.00264457586842889,0.00423340737197121,-0.0347728951130554,0.0371964539085065,-0.0215495751564131,-0.0275721486716187,-0.00164871062079703,-0.0956134474775409
"Sparcl1",0.0175277902519714,0.0907797810839593,-0.109259366638729,0.000881455586146226,0.0166142292265403,-0.0304813469529797,0.00843628094036436,0.0545387619467833,-0.015372610694495,0.0423985412639103,0.0700529274753659,-0.0118312124412918,-0.0282787378133205,0.0147690599605465,0.00921279220892939
"Krt13",0.0134281270923804,0.0342295861311386,0.0342724600546313,-0.115408042845272,-0.0412222144864622,0.0038107985145981,-0.180570558512582,-0.0265285054134939,-0.0201992539624727,-0.00440368677765941,0.0290649489483846,-0.0541349479987705,0.0195330896604637,0.0490125546139439,0.0156287407073359
"Slc51a",0.0179506731869669,-0.083272170058758,-0.0791854565772089,-0.0194481690666414,-0.0301193650775845,0.00346035131128131,-0.0414715543352395,0.0329140372922494,0.0704298299259582,0.0362161974158912,-0.0440415271934417,0.0176625479664596,0.0415259429499946,-0.0320954245421316,0.0263637304407626
"Slc26a2",0.0479863082710167,-0.00695029874267002,0.0019281472058306,0.0454746855458846,0.0525233288563827,-0.0300888649863214,-0.0369705890696339,0.0023830194712402,0.0327969842791962,-0.0140223357091114,0.0128893497091192,-0.0317722466859204,-0.0240184268786659,-0.012378479673197,-0.0318418430890934
"Clca4a",0.0310589583484971,-0.00451807304467064,-0.0139268374527397,-0.0537807709971687,0.0825967251678902,-0.0698481877402257,0.0335877604376968,-0.0559384658642943,-0.117738497498292,-0.106747285823762,-0.0440710712318139,0.0363120373211508,-0.0162210361388859,-0.0904437000439326,0.0238805475710722
"Mxd1",0.0432878411854952,0.00521938614224104,0.0125802948370915,-0.0204776177384579,0.0891603072370191,-0.0211249051340484,-0.013695517790479,0.00331927578079225,-0.0151426649694235,-0.0143052756772038,-0.0186986922979995,-0.0017886124944735,0.0231116727149955,-0.0316036699213588,9.23404830856058e-05
"Klk1",0.0334846620534788,0.0165311519739153,0.0411817398377442,0.119003757436318,-0.00572585344084031,0.0550717389744812,-0.0425740223355876,-0.0216543902325857,-0.00299146019682436,0.0222265333335933,-0.00648817692697067,0.0602425627805197,0.0131145034894735,-0.0297998677644575,0.00247963320323454
"Csrp1",0.0197187259572762,0.097659830304739,-0.0924793720022035,0.00697951157375212,0.000565198301661771,0.00697846804596826,-0.00600835405621493,-0.00415859698212179,-0.0489375400475189,0.0341794416317768,-0.00367839214966255,0.00870921647389349,0.00182538212834293,-0.0189102745718891,-0.0104692163340742
"2200002D01Rik",0.048330977675887,-0.0452676967351348,-0.0373852987549129,-0.00494153001451092,0.00833930709654039,-0.0167868637354744,-0.0266202935083788,0.0301601061304803,0.0210661230819052,-0.00221648977495477,0.00862950136845583,-0.0543396974782594,0.0625683542949667,-0.0449523261481966,-0.0493566601004123
"Krt8",0.0511204806605078,-0.00408890374267426,0.014265122562067,0.023885605375908,-0.0130092073561281,-0.0105266309416583,0.0199306318394658,0.0385253501010202,-0.0181457299479019,-0.0105224908222731,-0.0330192337032678,-0.0895974911438203,0.0569075417857452,-0.00119358145163532,-0.0460444482329621
"Mep1a",0.0409062276008025,-0.0410823634399523,-0.0377765026789425,0.00298400540269942,0.0537676464566289,-0.00168918054390112,-0.0357308200833765,-0.0138628264805737,-0.00303464742362716,-0.000736902365052757,-0.00737047164397801,0.0324504047554845,0.0591920898513683,0.015778228603346,-0.0205038359097233
"Muc13",0.0513789635484242,-0.00122314052803725,0.0200438891421577,-0.00234222352467957,0.00710258917160865,-0.0770529385969507,0.00974727384680287,0.00447055929803824,-0.000554130097513065,-0.0168207943597519,-0.0526142710279957,-0.0257167336648119,0.0504329051054234,-0.0300051657235692,0.0410960147047498
"Selenop",0.0436714768824858,0.00431911859983291,-0.0160555403692917,0.0211170441964959,0.080763914597119,-0.0123190675811718,-0.0675418601217828,0.0277678789480982,0.0474271168936764,0.00127839630051636,-0.0396990410573017,0.0500123716818081,0.0493666479840892,0.0295890172368538,0.00215080543229748
"Emp1",0.0369205000972136,-0.0542219735857469,-0.0688795479683489,-0.0597816940478683,0.000178594526790356,-0.0340416833004101,-0.015047390408823,0.00812070309675721,-0.0793450861262238,-0.0811292290134664,-0.0300603131387778,-0.0407264765745042,0.0245953991863785,-0.0342782306716862,0.0252076297760415
"Slc6a14",0.0444262207462328,-0.0382657306453733,-0.026847472540716,0.0396125981980049,-0.0108942795075057,-0.0099947934265432,-0.050655875060155,0.0249115462436922,-0.0140003065447713,-0.0446251380949728,-0.0341370651627564,-0.0628043055241417,-0.000903147877568684,-0.0273635215048705,0.0578260744557933
"Plac8",0.0487093227480376,-0.00214921871323164,0.00408440629938111,-0.0406070306545987,0.0235053683955618,-0.0922261473683325,0.00689101989947341,0.0298765623825161,0.0446294656304496,-0.025873985366701,0.0160075401695118,-0.0424433510731139,-0.00830525677129756,0.00210984344759219,-0.0147188136329062
"Klf4",0.0458088482687755,0.00176825630868028,0.0169524498967704,0.0222730340180538,0.0367221837968793,-0.0335059197728555,-0.0265629468849434,0.0164878871610071,0.0124258259645054,-0.0154391664677925,0.0250131276609241,-0.0504869988213239,-0.020758007326384,0.00992074325150632,0.0390876467535386
"Tpm1",0.0294444271223945,0.0808110479584532,-0.0900191031593213,0.00595297228263472,-0.00176289927499435,0.0119344421201819,0.0334187131275059,0.00746379501513828,-0.0685649333422339,0.0582589434596243,0.0108620449117043,-0.0209879379697802,0.0336772240605394,-0.0473174132509681,0.00402221063489318
"Nudt4",0.0461948330320789,-0.019615077813509,-0.0156481402866188,-0.013937538798742,0.0368092234571532,-0.0124986174210455,-0.0119645700894213,0.0229634706990878,0.0162002406863276,0.000861099731163284,-0.0216497513925556,-0.00458758724202726,0.0403452100187817,-0.050811727090928,-0.0146363333450005
"Mgp",0.00860684532752925,0.0964893169004488,-0.0664029748231619,-0.00961614131101644,0.0029639510302415,-0.0488390665811227,-0.0254357414075195,0.0492974206317916,0.0444504333160093,-0.000264528744085535,-0.0499967987041377,0.0245456128530377,-0.0157130496791734,0.140063587479684,0.0231941853886065
"Wfdc2",0.0329139478572867,0.0534515461897944,0.0603944598741907,0.0222516847920673,-0.0319351609251232,-0.0226539907333053,-0.0597542458810202,-0.0229389776587108,-0.0281628982685811,0.0103839685134709,-0.0465482340470408,0.00479655044106628,-0.00819936523668179,-0.0680176395161108,-0.0604676903902588
"Adh1",0.0335909224743762,0.0537107280684568,0.0440839914634071,0.0985850459298103,-0.0123724217421321,-0.046713030431781,-0.0504960108522902,-0.0215831324478191,0.00483990670264608,0.00788699795359215,-0.0829730380809001,0.0210278882098703,-0.0304384655585332,-0.0178913434447413,0.0665650817096771
"Clca4b",0.0177121766637231,0.0284013299378543,0.0358555690624533,-0.114484313347868,-0.0206653825300403,-0.0668784116274604,0.0521716548898313,0.00723292164342437,0.0119830341420837,0.047897117719169,-0.0369915885763752,-0.0536556890500638,0.112794077376332,-0.00309669974100924,-0.0420794225151889
"Pyy",0.0275246482936811,0.032124775653576,0.00629688705226768,0.0610830454197504,-3.52030624366498e-05,-0.0488910762835049,-0.0436156607569848,-0.0103996163849509,-0.00396231746242248,-0.00931054650239802,-0.0717648684126592,0.069456471975098,0.014316043655982,0.0775725885397978,0.0524642752230217
"Mall",0.0406640259811217,-0.0435320241858976,-0.0294448933867985,-0.0594829084298235,-0.00195294617532663,-0.0230932350910403,-0.0401032257307484,0.00787602060876179,-0.00893388349911638,-0.0262036435718186,0.0116431024057954,-0.0292759741649062,0.00439676044761053,-0.00843344367088467,0.0138998914750601
"Abcb1a",0.0416617727170916,-0.0534801079895881,-0.041595903274994,0.0145946405197104,0.0302803803902911,-0.0276289978431637,-0.0222764624076934,0.00576102927048329,0.0304171386869288,-0.015665154256825,-0.00400817393162961,0.00796394765558545,-0.0153949171627934,-0.0348509928192191,0.0120472456532612
"Ces2c",0.0346515100480937,-0.0412831481701665,-0.046941669065318,0.0100349159875795,0.0675602218375174,0.00894822919371954,-0.0317718106737317,0.00450393113510423,-0.0191368281315162,-0.00921553739680046,-0.0535020176665822,0.052230068215283,0.0155027888535814,-0.00172791835170198,-0.0257693701250828
"Rhoc",0.044400710977157,0.0164462063782935,0.00227537984853588,-0.0284055656061437,0.0590194464004726,-0.0291573057810561,0.0158800375439855,0.00976567316684189,-0.00479767071398207,-0.0273596850357008,-0.00977821044008903,-0.0335716093740902,0.0145064354197275,-0.039830937785446,0.014686478251802
"Fabp2",0.0276908374471939,-0.0725608327821288,-0.0716340563982887,-0.00111100483018374,-0.0209310083452889,0.00647977099241393,0.0032718240968554,0.00663758430944572,-0.0944804508773762,-0.0822301217796835,-0.0339837692701678,-0.00325782284541306,0.0288430967631126,-0.00765331581307283,-0.0264191771694241
"Aqp4",0.0296500881137191,0.020283517335931,0.0183737346524456,0.0887160316624479,-0.0143481638517329,-0.0193717560885869,0.00877492633816723,0.00174559966939791,-0.111419279915406,-0.121525150945983,0.0508865250660002,-0.0586053447692799,-0.0712045677789808,0.0752945752126765,-0.0161156214553944
"Myo15b",0.04222921049634,-0.0226247140620393,-0.00649471874004918,-0.0120915359205113,0.0595872277902092,-0.00445638421365087,-0.00601347741324938,0.00891474983820589,-0.0125575422083599,-0.00979327578131088,-0.0257081615099653,-0.0057867825793107,0.0397314401193734,-0.0301443019196746,-0.0129395966024937
"Rfk",0.0441649350287323,-0.0425845385753141,-0.0442024026901781,0.00151456742899361,0.00904248680513134,-0.0239726260219172,-0.0149080813596033,0.00791523485550975,0.00367912425810382,-0.0275120535846663,0.0172117982830586,-0.0161346835035412,0.0289912614191445,-0.0156657398304487,-0.000616382082659434
"Dpep1",0.0331748207409603,-0.0507787753362542,-0.0455222726334643,0.0254415163071323,0.0241720780372645,0.0128903180171704,-0.015200476576682,0.0256092613965293,-0.040451382281527,-0.0592744699932316,0.0157367244834593,0.0191719082014208,-0.000741494421529154,0.0582416183104983,-0.0330365974977443
"Krt14",0.0114804416904834,0.0291249192654435,0.0302851332046887,-0.109348390712343,-0.0345675994815042,0.00266925085051019,-0.133991574493503,-0.0128010848234523,-0.0158134905598012,-0.00315661874065958,0.0170618207005472,-0.0374684604277831,0.020283934195678,0.0161101562710488,-0.0240573102570908
"Tspan1",0.0506265879600105,-0.00497475196330681,0.00156043371335221,0.0135298985235804,0.016961507096955,-0.0804804946887546,-0.00623682352589765,-0.0104678169229426,0.0027585433848843,-0.0262667263703326,-0.00425829215630339,-0.0139289460439253,0.0330643363331411,-0.00829851540804928,0.0109544748061018
"Id1",0.0431835241066228,-0.00340176926393345,0.0232199339877368,0.00504946875090497,0.00444627734800558,0.0208892968802595,-0.0205662004927421,0.0354394126645264,0.01515516857354,-0.0204937104612146,0.0209982091227552,-0.0481049780052593,-0.0220171829679425,-0.0446768794055745,-0.0402444248630892
"Lypd8",0.0578290952379807,-0.00728349317052224,-0.00809165924008672,-0.0318196123227065,0.0394427228021008,-0.0983513951023748,-0.0116128685429505,0.029152121494185,0.0553834609634668,-0.0097884292507537,-0.0281829085678046,-0.0554334022837198,0.0342252005793964,0.00375019119993787,0.0011335399149933
"Higd1a",0.03824431928288,-0.0498318514374039,-0.0468041453922462,0.00136787254926841,-0.00516713259876244,0.023260254682627,0.0112045143852115,0.00842020702063915,-0.0395360838805344,-0.0253563912818134,0.0183550881696261,-0.0247101143314522,0.00941605950701857,-0.0117760119690955,-0.0487761935032287
