barcode,x,y,mclust
aaaaaaac-1,1643.3688537597657,1290.669696044922,3
aaaaaaad-1,1655.5135192871094,1303.29736328125,3
aaaaaaae-1,1663.0251037597657,1314.8338928222656,3
aaaaaaag-1,1653.3226318359375,1331.5312255859374,3
aaaaaaah-1,1662.0761169433592,1338.12578125,3
aaaaaaai-1,1672.5364501953125,1356.7449523925782,3
aaaaaaaj-1,1644.3447143554688,1362.4041137695312,3
aaaaaaak-1,1662.7035522460938,1360.6055419921877,3
aaaaaaal-1,1653.5520446777343,1368.8875427246094,3
aaaaaaam-1,1665.6515747070312,1374.542657470703,3
aaaaaaan-1,1661.8118408203125,1383.2110595703125,3
aaaaaaao-1,1645.9362854003905,1385.9609008789062,3
aaaaaaap-1,1657.2779541015625,1399.564013671875,3
aaaaaaba-1,1646.3787170410155,1401.06728515625,3
aaaaaabb-1,1665.9988586425782,1406.9259765625,3
aaaaaabc-1,1660.7349182128903,1416.3970642089844,3
aaaaaabd-1,1643.5446228027342,1415.7111083984375,3
aaaaaabe-1,1673.5145935058592,1418.8767150878905,3
aaaaaabf-1,1648.9281982421874,1428.1923706054688,3
aaaaaabg-1,1662.1652465820312,1427.1154479980469,3
aaaaaabh-1,1666.204718017578,1440.9131103515624,3
aaaaaabi-1,1650.5676025390624,1452.3285522460938,3
aaaaaabl-1,1665.5398254394531,1506.915008544922,5
aaaaaabm-1,1653.409375,1515.562658691406,5
aaaaaabn-1,1668.0387756347657,1521.380987548828,5
aaaaaabo-1,1668.0431335449218,1531.4582397460938,5
aaaaaabp-1,1657.542022705078,1532.49189453125,5
aaaaaaca-1,1648.6335205078124,1531.8597900390623,4
aaaaaacb-1,1651.3381225585938,1537.86748046875,5
aaaaaacc-1,1664.725518798828,1545.829278564453,5
aaaaaacd-1,1643.3779846191403,1540.2525024414062,4
aaaaaace-1,1655.2953125,1546.6607055664062,5
aaaaaacf-1,1651.0100341796874,1550.7736389160157,5
aaaaaacg-1,1666.2825378417967,1582.6354614257812,2
aaaaaach-1,1654.1805175781249,1588.1748840332032,2
aaaaaaci-1,1668.4485229492186,1593.9299194335938,2
aaaaaacj-1,1667.547265625,1599.9597106933593,2
aaaaaack-1,1646.2791076660155,1600.597625732422,1
aaaaaacl-1,1664.1800537109375,1605.911993408203,1
aaaaaacm-1,1651.9479187011718,1606.6753540039062,1
aaaaaacn-1,1647.499737548828,1612.67744140625,1
aaaaaaco-1,1660.3533935546875,1616.5546325683592,2
aaaaaacp-1,1654.7619873046874,1619.1703125,2
aaaaaada-1,1673.6004028320312,1618.4142150878906,2
aaaaaadb-1,1666.595477294922,1619.6093200683592,2
aaaaaadc-1,1648.5053771972655,1622.7498168945312,1
aaaaaadd-1,1639.6160705566406,1627.50595703125,6
aaaaaade-1,1667.3237670898436,1637.6189025878905,2
aaaaaadf-1,1652.94951171875,1640.9187744140625,1
aaaaaadg-1,1650.5960327148437,1660.1323852539062,1
aaaaaadh-1,1655.7137756347656,1670.4282592773436,1
aaaaaadi-1,1551.0095886230467,874.4464233398437,1
aaaaaadj-1,1432.0039855957032,872.2919555664063,1
aaaaaadk-1,1547.5717163085938,862.8872222900391,1
aaaaaadm-1,1527.86171875,865.1542694091796,1
aaaaaadn-1,1435.2832092285155,849.0426605224609,1
aaaaaado-1,1446.0189208984375,849.924151611328,1
aaaaaadp-1,1570.121826171875,856.146728515625,1
aaaaaaea-1,1512.3015930175782,851.4479156494141,1
aaaaaaeb-1,1585.388311767578,862.8027618408203,1
aaaaaaec-1,1548.6710510253906,856.1170532226562,1
aaaaaaed-1,1584.969744873047,853.6486602783203,1
aaaaaaee-1,1556.502111816406,848.3953552246094,1
aaaaaaef-1,1446.188360595703,867.7192626953125,1
aaaaaaeg-1,1657.078839111328,849.3403472900391,1
aaaaaaeh-1,1597.4071166992187,857.3052581787109,1
aaaaaaei-1,1622.5829711914062,852.5028411865234,1
aaaaaaej-1,1539.3648376464844,843.7302124023437,1
aaaaaaek-1,1577.29453125,860.4494384765625,1
aaaaaael-1,1561.3032836914062,858.4884826660156,1
aaaaaaem-1,1545.082208251953,869.27607421875,1
aaaaaaen-1,1477.327081298828,867.1392456054688,1
aaaaaaeo-1,1610.402716064453,872.0362915039062,1
aaaaaaep-1,1578.1688110351563,845.7108825683594,1
aaaaaafa-1,1553.3684631347655,853.2410400390625,1
aaaaaafb-1,1547.6269165039062,836.0709259033202,1
aaaaaafc-1,1570.9083251953125,844.885888671875,1
aaaaaafd-1,1577.9064025878906,855.9696624755859,1
aaaaaafe-1,1662.2894470214844,867.639990234375,1
aaaaaaff-1,1641.4582214355469,860.4529663085938,1
aaaaaafg-1,1490.1595703125,867.1935119628906,1
aaaaaafh-1,1607.64716796875,858.8637817382812,1
aaaaaafi-1,1556.7732360839843,866.9123229980469,1
aaaaaafj-1,1670.2691955566406,844.7460723876953,1
aaaaaafk-1,1669.419403076172,853.2947875976562,1
aaaaaafl-1,1466.6923278808592,842.2135559082031,1
aaaaaafm-1,1457.2015258789063,854.6825225830078,1
aaaaaafn-1,1620.4287109375,869.0100341796875,1
aaaaaafo-1,1604.1257690429686,865.8418334960937,1
aaaaaafp-1,1626.4239501953125,860.0506378173828,1
aaaaaaga-1,1430.3627136230468,858.9684234619141,1
aaaaaagb-1,1636.4466247558594,871.8615600585937,1
aaaaaagc-1,1541.9124511718749,858.359716796875,1
aaaaaagd-1,1618.8274902343749,858.2646728515625,1
aaaaaage-1,1593.8050964355468,848.1611175537109,1
aaaaaagf-1,1650.7833190917968,860.3759765625,1
aaaaaagg-1,1605.67158203125,844.0829956054687,1
aaaaaagh-1,1526.147607421875,847.2322082519531,1
aaaaaagi-1,1646.6810729980468,921.4601806640624,1
aaaaaagj-1,1631.4233032226562,865.6581268310547,1
aaaaaagk-1,1643.6031433105468,942.2968017578124,1
aaaaaagl-1,1645.12021484375,899.1332580566406,1
aaaaaagm-1,1647.296057128906,935.9048889160156,1
aaaaaagn-1,1632.4680603027343,846.6628784179687,1
aaaaaago-1,1647.7016540527345,905.8857360839844,1
aaaaaagp-1,1485.6299377441403,856.4963989257812,1
aaaaaaha-1,1648.0879516601562,950.2700134277344,1
aaaaaahb-1,1650.77138671875,943.067218017578,1
aaaaaahc-1,1644.0124755859374,960.444696044922,1
aaaaaahd-1,1652.9081115722656,932.2419616699218,1
aaaaaahe-1,1647.18212890625,955.3255004882812,1
aaaaaahf-1,1464.8732116699218,866.2040069580078,1
aaaaaahg-1,1651.8492431640625,913.3916137695312,1
aaaaaahh-1,1647.5535888671875,879.7456420898437,1
aaaaaahi-1,1658.4007385253906,906.3749633789064,1
aaaaaahj-1,1655.9734863281249,897.7371704101562,1
aaaaaahk-1,1646.9846740722655,873.076171875,1
aaaaaahl-1,1654.6693298339844,923.729718017578,1
aaaaaahm-1,1614.8107421875,862.4242980957031,1
aaaaaahn-1,1485.8374572753903,841.4611938476562,1
aaaaaaho-1,1659.6874633789062,915.1459838867188,1
aaaaaahp-1,1653.9621032714842,948.8175842285156,1
aaaaaaia-1,1653.5623168945312,884.8079772949219,1
aaaaaaib-1,1651.396954345703,966.5026062011718,1
aaaaaaic-1,1658.2898193359374,959.581622314453,1
aaaaaaid-1,1663.6423706054686,919.5820251464844,1
aaaaaaie-1,1661.2000732421875,930.7203247070312,1
aaaaaaif-1,1653.4627075195312,873.3262329101562,1
