x,y,barcode,STAMarker_label,true_label
1643.3688537597657,1290.669696044922,aaaaaaac-1,1,Large Airway
1655.5135192871094,1303.29736328125,aaaaaaad-1,1,Large Airway
1663.0251037597657,1314.8338928222656,aaaaaaae-1,1,
1653.3226318359375,1331.5312255859374,aaaaaaag-1,1,
1662.0761169433592,1338.12578125,aaaaaaah-1,1,
1672.5364501953125,1356.7449523925782,aaaaaaai-1,1,Granuloma
1644.3447143554688,1362.4041137695312,aaaaaaaj-1,1,
1662.7035522460938,1360.6055419921877,aaaaaaak-1,1,Granuloma
1653.5520446777343,1368.8875427246094,aaaaaaal-1,1,Granuloma
1665.6515747070312,1374.542657470703,aaaaaaam-1,1,Granuloma
1661.8118408203125,1383.2110595703125,aaaaaaan-1,1,Granuloma
1645.9362854003905,1385.9609008789062,aaaaaaao-1,1,Granuloma
1657.2779541015625,1399.564013671875,aaaaaaap-1,1,Granuloma
1646.3787170410155,1401.06728515625,aaaaaaba-1,1,Granuloma
1665.9988586425782,1406.9259765625,aaaaaabb-1,1,Granuloma
1660.7349182128903,1416.3970642089844,aaaaaabc-1,1,Granuloma
1643.5446228027342,1415.7111083984375,aaaaaabd-1,1,Granuloma
1673.5145935058592,1418.8767150878905,aaaaaabe-1,1,Granuloma
1648.9281982421874,1428.1923706054688,aaaaaabf-1,1,Granuloma
1662.1652465820312,1427.1154479980469,aaaaaabg-1,1,Granuloma
1666.204718017578,1440.9131103515624,aaaaaabh-1,1,Granuloma
1650.5676025390624,1452.3285522460938,aaaaaabi-1,1,Granuloma
1665.5398254394531,1506.915008544922,aaaaaabl-1,4,Large Airway
1653.409375,1515.562658691406,aaaaaabm-1,4,Large Airway
1668.0387756347657,1521.380987548828,aaaaaabn-1,4,Large Airway
1668.0431335449218,1531.4582397460938,aaaaaabo-1,4,Large Airway
1657.542022705078,1532.49189453125,aaaaaabp-1,4,Large Airway
1648.6335205078124,1531.8597900390623,aaaaaaca-1,4,Large Airway
1651.3381225585938,1537.86748046875,aaaaaacb-1,4,Large Airway
1664.725518798828,1545.829278564453,aaaaaacc-1,4,Large Airway
1643.3779846191403,1540.2525024414062,aaaaaacd-1,4,Large Airway
1655.2953125,1546.6607055664062,aaaaaace-1,3,Large Airway
1651.0100341796874,1550.7736389160157,aaaaaacf-1,3,Large Airway
1666.2825378417967,1582.6354614257812,aaaaaacg-1,5,Large Airway
1654.1805175781249,1588.1748840332032,aaaaaach-1,0,
1668.4485229492186,1593.9299194335938,aaaaaaci-1,5,
1667.547265625,1599.9597106933593,aaaaaacj-1,5,
1646.2791076660155,1600.597625732422,aaaaaack-1,0,Large Airway
1664.1800537109375,1605.911993408203,aaaaaacl-1,5,
1651.9479187011718,1606.6753540039062,aaaaaacm-1,5,Large Airway
1647.499737548828,1612.67744140625,aaaaaacn-1,0,Large Airway
1660.3533935546875,1616.5546325683592,aaaaaaco-1,5,
1654.7619873046874,1619.1703125,aaaaaacp-1,5,Large Airway
1673.6004028320312,1618.4142150878906,aaaaaada-1,5,
1666.595477294922,1619.6093200683592,aaaaaadb-1,5,
1648.5053771972655,1622.7498168945312,aaaaaadc-1,5,Large Airway
1639.6160705566406,1627.50595703125,aaaaaadd-1,0,Large Airway
1667.3237670898436,1637.6189025878905,aaaaaade-1,5,
1652.94951171875,1640.9187744140625,aaaaaadf-1,5,
1650.5960327148437,1660.1323852539062,aaaaaadg-1,0,
1655.7137756347656,1670.4282592773436,aaaaaadh-1,0,
1551.0095886230467,874.4464233398437,aaaaaadi-1,0,
1432.0039855957032,872.2919555664063,aaaaaadj-1,0,
1547.5717163085938,862.8872222900391,aaaaaadk-1,0,
1527.86171875,865.1542694091796,aaaaaadm-1,0,
1435.2832092285155,849.0426605224609,aaaaaadn-1,0,
1446.0189208984375,849.924151611328,aaaaaado-1,0,
1570.121826171875,856.146728515625,aaaaaadp-1,0,
1512.3015930175782,851.4479156494141,aaaaaaea-1,0,
1585.388311767578,862.8027618408203,aaaaaaeb-1,0,
1548.6710510253906,856.1170532226562,aaaaaaec-1,0,
1584.969744873047,853.6486602783203,aaaaaaed-1,0,
1556.502111816406,848.3953552246094,aaaaaaee-1,0,
1446.188360595703,867.7192626953125,aaaaaaef-1,0,
1657.078839111328,849.3403472900391,aaaaaaeg-1,0,
1597.4071166992187,857.3052581787109,aaaaaaeh-1,0,
1622.5829711914062,852.5028411865234,aaaaaaei-1,0,
1539.3648376464844,843.7302124023437,aaaaaaej-1,2,
1577.29453125,860.4494384765625,aaaaaaek-1,0,
1561.3032836914062,858.4884826660156,aaaaaael-1,0,
1545.082208251953,869.27607421875,aaaaaaem-1,0,
1477.327081298828,867.1392456054688,aaaaaaen-1,0,
1610.402716064453,872.0362915039062,aaaaaaeo-1,0,
1578.1688110351563,845.7108825683594,aaaaaaep-1,0,
1553.3684631347655,853.2410400390625,aaaaaafa-1,0,
1547.6269165039062,836.0709259033202,aaaaaafb-1,0,
1570.9083251953125,844.885888671875,aaaaaafc-1,0,
1577.9064025878906,855.9696624755859,aaaaaafd-1,0,
1662.2894470214844,867.639990234375,aaaaaafe-1,0,
1641.4582214355469,860.4529663085938,aaaaaaff-1,0,
1490.1595703125,867.1935119628906,aaaaaafg-1,0,
1607.64716796875,858.8637817382812,aaaaaafh-1,0,
1556.7732360839843,866.9123229980469,aaaaaafi-1,0,
1670.2691955566406,844.7460723876953,aaaaaafj-1,0,
1669.419403076172,853.2947875976562,aaaaaafk-1,0,
1466.6923278808592,842.2135559082031,aaaaaafl-1,0,
1457.2015258789063,854.6825225830078,aaaaaafm-1,0,
1620.4287109375,869.0100341796875,aaaaaafn-1,2,
1604.1257690429686,865.8418334960937,aaaaaafo-1,0,
1626.4239501953125,860.0506378173828,aaaaaafp-1,0,
1430.3627136230468,858.9684234619141,aaaaaaga-1,0,
1636.4466247558594,871.8615600585937,aaaaaagb-1,0,
1541.9124511718749,858.359716796875,aaaaaagc-1,0,
1618.8274902343749,858.2646728515625,aaaaaagd-1,0,
1593.8050964355468,848.1611175537109,aaaaaage-1,0,
1650.7833190917968,860.3759765625,aaaaaagf-1,0,
1605.67158203125,844.0829956054687,aaaaaagg-1,0,
1526.147607421875,847.2322082519531,aaaaaagh-1,0,
1646.6810729980468,921.4601806640624,aaaaaagi-1,0,
1631.4233032226562,865.6581268310547,aaaaaagj-1,2,
1643.6031433105468,942.2968017578124,aaaaaagk-1,0,
1645.12021484375,899.1332580566406,aaaaaagl-1,0,
1647.296057128906,935.9048889160156,aaaaaagm-1,0,
1632.4680603027343,846.6628784179687,aaaaaagn-1,0,
1647.7016540527345,905.8857360839844,aaaaaago-1,0,
1485.6299377441403,856.4963989257812,aaaaaagp-1,0,
1648.0879516601562,950.2700134277344,aaaaaaha-1,0,
