ID,x,y,kmeans
spot_0,16467,19883,2
spot_1,18720,7839,0
spot_2,7378,18737,1
spot_3,14679,6394,0
spot_4,15690,6973,0
spot_5,19243,19154,0
spot_6,4606,22078,1
spot_7,15208,21771,2
spot_8,17482,23073,0
spot_9,14431,9151,2
spot_10,16959,11178,0
spot_11,20249,17121,0
spot_12,13167,7847,2
spot_13,5352,14387,1
spot_14,4354,22223,1
spot_15,12675,16552,2
spot_16,4856,20772,1
spot_17,21521,23357,0
spot_18,20251,18282,0
spot_19,20749,13639,0
spot_20,7383,22218,1
spot_21,5867,21060,1
spot_22,20499,15235,0
spot_23,9654,21490,1
spot_24,15197,14808,0
spot_25,19981,6821,0
spot_26,15186,7844,0
spot_27,21769,20310,0
spot_28,3843,18452,1
spot_29,6358,12065,1
spot_30,11147,7270,2
spot_31,10413,22794,1
spot_32,20488,8271,0
spot_33,19485,12915,0
spot_34,17719,13063,0
spot_35,9895,14090,1
spot_36,9887,8868,2
spot_37,6371,20479,1
spot_38,3848,21353,1
spot_39,16703,9002,0
spot_40,6359,12645,1
spot_41,13166,7267,2
spot_42,19754,23215,0
spot_43,14951,18725,2
spot_44,14446,19016,2
spot_45,7376,17866,1
spot_46,11674,21777,2
spot_47,15702,15097,0
spot_48,12934,20469,2
spot_49,3850,22804,1
spot_50,20250,17701,0
spot_51,17224,19737,2
spot_52,21746,5513,0
spot_53,9148,21200,1
spot_54,7867,8581,2
spot_55,7120,15110,1
spot_56,16196,7552,0
spot_57,12164,12491,2
spot_58,10386,5095,2
spot_59,12418,13506,2
spot_60,11901,5673,2
spot_61,7376,17576,1
spot_62,10407,18732,1
spot_63,12683,21775,2
spot_64,17713,9581,0
spot_65,7636,22363,1
spot_66,5357,18159,1
spot_67,15694,9874,0
spot_68,10900,11187,2
spot_69,19229,10449,0
spot_70,11149,8721,2
spot_71,16717,18577,2
spot_72,6109,14531,1
spot_73,15187,8134,0
spot_74,18723,9580,0
spot_75,7624,14819,1
spot_76,11150,9591,2
spot_77,16217,21480,0
spot_78,10660,19457,2
spot_79,8139,21492,1
spot_80,20741,8416,0
spot_81,19990,12624,0
spot_82,12916,8573,2
spot_83,5358,18450,1
spot_84,20233,6676,0
spot_85,7363,9452,2
spot_86,7618,10757,2
spot_87,17962,7114,0
spot_88,20745,11317,0
spot_89,18236,21476,0
spot_90,5113,23237,1
spot_91,13941,19017,2
spot_92,5858,15257,1
spot_93,9897,15251,1
spot_94,15455,18434,2
spot_95,6866,14385,1
spot_96,3841,16711,1
spot_97,19492,16977,0
spot_98,12936,22210,2
spot_99,17469,14949,0
spot_100,7882,18446,1
spot_101,18466,6243,0
spot_102,21772,22342,0
spot_103,17218,15675,0
spot_104,7621,12788,2
spot_105,9898,16121,1
spot_106,8894,20185,1
spot_107,20747,12768,0
spot_108,9643,14526,1
spot_109,17475,18721,2
spot_110,15696,10745,0
spot_111,15949,11180,0
spot_112,9890,10899,2
spot_113,22274,20890,0
spot_114,6113,17143,1
spot_115,12927,15827,2
spot_116,9378,6547,2
spot_117,22783,23501,0
spot_118,15712,21480,2
spot_119,4843,12067,1
spot_120,17720,13933,0
spot_121,13425,11474,2
spot_122,18989,18429,0
spot_123,6872,18447,1
spot_124,6606,9018,1
spot_125,12679,18583,2
spot_126,17211,11033,0
spot_127,6119,21205,1
spot_128,16725,23510,0
spot_129,7876,14674,1
spot_130,8886,14672,1
spot_131,4600,18016,1
spot_132,5601,12211,1
spot_133,8371,7709,2
spot_134,11149,9011,2
spot_135,7361,8001,2
spot_136,11650,6109,2
spot_137,5096,12212,1
spot_138,9404,23086,1
spot_139,22757,6092,0
spot_140,8899,23377,1
spot_141,7110,8727,2
spot_142,21013,21617,0
spot_143,18981,12916,0
spot_144,4096,18887,1
spot_145,12925,14956,2
spot_146,10644,9012,2
spot_147,12675,16262,2
spot_148,13674,9297,2
spot_149,12928,16697,2
spot_150,18740,20895,0
spot_151,18725,10740,0
spot_152,10406,18152,1
spot_153,18732,15673,0
spot_154,17217,15095,0
spot_155,22509,9429,0
spot_156,16216,20609,2
spot_157,20236,8417,0
spot_158,8647,23232,1
spot_159,19249,23216,0
spot_160,20752,15670,0
spot_161,6880,23380,1
spot_162,6116,19174,1
spot_163,18219,10161,0
spot_164,16459,14951,0
spot_165,12674,15682,2
spot_166,4593,13373,1
spot_167,10902,12058,2
spot_168,13692,20903,2
spot_169,10658,17716,1
spot_170,14451,22208,2
spot_171,9890,10609,2
spot_172,11406,11767,2
spot_173,19731,8127,0
spot_174,10406,18442,1
spot_175,18974,8854,0
spot_176,22782,22630,0
spot_177,10152,16846,1
spot_178,14950,18435,2
spot_179,8629,11916,2
spot_180,12160,9590,2
spot_181,15205,19740,2
spot_182,9152,23231,1
spot_183,13668,5525,2
spot_184,14178,8716,2
spot_185,10893,6545,2
spot_186,14953,20176,2
spot_187,16198,9003,0
spot_188,21249,10446,0
spot_189,16967,16691,0
spot_190,8390,20186,1
spot_191,15442,10020,0
spot_192,20507,20457,0
spot_193,5098,13953,1
spot_194,21004,15234,0
spot_195,12917,9443,2
spot_196,16958,10598,0
spot_197,22781,21760,0
spot_198,5101,15403,1
spot_199,16976,22784,0
spot_200,9633,7853,2
spot_201,20744,10447,0
spot_202,16959,11758,0
spot_203,15959,17563,2
spot_204,5614,21206,1
spot_205,8644,21201,1
spot_206,23267,9863,0
spot_207,10135,6111,2
spot_208,5852,11195,1
spot_209,15435,5377,0
spot_210,16216,20899,0
spot_211,10661,19747,2
spot_212,12915,8283,2
spot_213,21248,9866,0
spot_214,7115,11919,2
spot_215,13685,16551,2
spot_216,14450,21627,2
spot_217,5856,13806,1
spot_218,21770,20891,0
spot_219,20754,17120,0
spot_220,16953,7406,0
spot_221,10410,21053,1
spot_222,13417,6541,2
spot_223,11921,18440,2
spot_224,16700,7261,0
spot_225,4853,18741,1
spot_226,15946,9439,0
spot_227,14947,16404,2
spot_228,9639,11915,2
spot_229,7614,8146,2
spot_230,9649,18588,1
spot_231,10156,19748,1
spot_232,10147,13655,1
spot_233,8640,19170,1
spot_234,4607,22948,1
spot_235,11399,7415,2
spot_236,8627,10175,2
spot_237,20233,6386,0
spot_238,17712,9001,0
spot_239,20490,9722,0
spot_240,21012,20747,0
spot_241,13931,12343,0
spot_242,18478,14658,0
spot_243,16711,14225,0
spot_244,9649,18298,1
spot_245,20496,13494,0
spot_246,20500,16105,0
spot_247,16206,14226,0
spot_248,15201,17129,2
spot_249,20001,19878,0
spot_250,20738,6385,0
spot_251,20257,22344,0
spot_252,7125,18302,1
spot_253,6614,14821,1
spot_254,19982,7402,0
spot_255,3840,16421,1
spot_256,15435,5668,0
spot_257,19747,19153,0
spot_258,14948,17274,2
spot_259,5613,20045,1
spot_260,11917,15538,2
spot_261,9383,9449,2
spot_262,11401,8865,2
spot_263,13163,5236,2
spot_264,16209,15967,0
spot_265,11151,10462,2
spot_266,19240,17703,0
spot_267,4856,20481,1
spot_268,14947,16114,2
spot_269,23265,8122,0
spot_270,14429,7990,2
spot_271,12917,9734,2
spot_272,4341,14099,1
spot_273,18218,9580,0
spot_274,5867,21350,1
spot_275,16718,19158,2
spot_276,11650,6399,2
spot_277,10909,16990,2
spot_278,14705,22933,2
spot_279,9894,13220,1
spot_280,7384,23089,1
spot_281,14950,18145,2
spot_282,7371,14384,1
spot_283,18972,7403,0
spot_284,11674,22067,2
spot_285,9892,12349,2
spot_286,8628,10756,2
spot_287,3851,23384,2
spot_288,7610,5825,2
spot_289,20235,7546,0
spot_290,10143,11334,2
spot_291,14197,21193,2
spot_292,11664,15393,2
spot_293,5606,15403,1
spot_294,10654,15395,1
spot_295,18488,21041,0
spot_296,8118,7565,2
spot_297,16960,12049,0
spot_298,18742,21766,0
spot_299,16955,8567,0
spot_300,5602,13372,1
spot_301,6360,13516,1
spot_302,18738,19445,0
spot_303,6365,16707,1
spot_304,21262,18861,0
spot_305,17221,17706,0
spot_306,16705,10743,0
spot_307,13415,5090,2
spot_308,15438,7118,0
spot_309,8645,22362,1
spot_310,3849,21934,1
spot_311,9138,14237,1
spot_312,11903,6834,2
spot_313,17719,13353,0
spot_314,14448,19886,2
spot_315,14439,14083,2
spot_316,23266,8992,0
spot_317,14181,10457,2
spot_318,15200,16839,2
spot_319,6111,15982,1
spot_320,4849,15839,1
spot_321,22759,7542,0
spot_322,13943,20177,2
spot_323,16710,13935,0
spot_324,22256,8994,0
spot_325,22272,19439,0
spot_326,8140,21782,1
spot_327,4595,14824,1
spot_328,8896,21056,1
spot_329,20252,19152,0
spot_330,17212,12193,0
spot_331,8125,12207,2
spot_332,21516,20456,0
spot_333,5608,16853,1
spot_334,11408,12927,2
spot_335,14196,20612,2
spot_336,9656,22650,1
spot_337,15956,16112,0
spot_338,13416,5671,2
spot_339,4848,15549,1
spot_340,4592,13083,1
spot_341,6118,20044,1
spot_342,15960,18724,2
spot_343,13428,13215,2
spot_344,14932,6829,0
spot_345,14434,11182,2
spot_346,11415,17570,2
spot_347,10139,8722,2
spot_348,13171,10459,2
spot_349,18991,19589,0
spot_350,19228,9289,0
spot_351,21248,10156,0
spot_352,18226,14513,0
spot_353,18743,22926,0
spot_354,13437,19598,2
spot_355,14436,12052,0
spot_356,22252,6383,0
spot_357,21014,22198,0
spot_358,6856,8002,2
spot_359,17968,10886,0
spot_360,21262,19441,0
spot_361,15958,17273,0
spot_362,9149,21781,1
spot_363,7119,14530,1
spot_364,7890,23378,1
spot_365,5355,16709,1
spot_366,6106,12791,1
spot_367,18214,6679,0
spot_368,19236,14801,0
spot_369,10905,14669,1
spot_370,21763,16539,0
spot_371,18995,22201,0
spot_372,17481,22493,0
spot_373,12931,18438,2
spot_374,16714,16546,0
spot_375,14953,20466,2
spot_376,22510,9719,0
spot_377,15456,19305,2
spot_378,18720,7258,0
spot_379,4855,19611,1
spot_380,19230,10739,0
spot_381,5099,14533,1
spot_382,16451,9438,0
spot_383,11907,9445,2
spot_384,14198,21483,2
spot_385,21001,13493,0
spot_386,12430,21340,2
spot_387,20234,7256,0
spot_388,15439,7699,0
spot_389,11906,8574,2
spot_390,18744,23217,0
spot_391,21766,18570,0
spot_392,19986,10013,0
spot_393,5850,10034,1
spot_394,6113,16853,1
spot_395,16448,7697,0
spot_396,18214,6969,0
spot_397,10914,20182,2
spot_398,9394,16703,2
spot_399,12153,5237,2
spot_400,10148,14235,1
spot_401,12933,19889,2
spot_402,13172,11329,2
spot_403,6363,15256,1
spot_404,19736,11899,0
spot_405,10158,20909,1
spot_406,5110,21206,1
spot_407,17982,19881,0
spot_408,12167,13942,2
spot_409,8130,15689,1
spot_410,22020,19875,0
spot_411,4596,15404,1
spot_412,14693,15389,2
spot_413,16205,13646,0
spot_414,14179,9587,2
spot_415,12419,14087,2
spot_416,11144,5819,2
spot_417,22529,22485,0
spot_418,3850,23094,1
spot_419,10913,19602,2
spot_420,13670,6976,2
spot_421,4598,16855,1
spot_422,22273,19729,0
spot_423,7615,9016,2
spot_424,22506,7398,0
spot_425,19238,15962,0
spot_426,8391,20766,1
spot_427,16963,13789,0
spot_428,17214,13064,0
spot_429,16209,16257,0
spot_430,19224,6677,0
spot_431,15693,8714,0
spot_432,9907,22215,1
spot_433,7611,6405,2
spot_434,22251,5802,0
spot_435,21767,19150,0
spot_436,21748,6964,0
spot_437,6362,14676,1
spot_438,21500,9720,0
spot_439,12168,14812,2
spot_440,21509,15523,0
spot_441,14194,19161,2
spot_442,20989,5369,0
spot_443,14931,5958,0
spot_444,16950,5665,0
spot_445,8128,14238,1
spot_446,4345,16420,1
spot_447,14188,15099,2
spot_448,13676,10748,2
spot_449,8622,6984,2
spot_450,5854,12936,1
spot_451,12178,21486,2
spot_452,20252,18862,0
spot_453,22762,9573,0
spot_454,7372,14965,1
spot_455,22530,22776,0
