barcode,mclust,x,y
Cell_9,1,4980.7776640043685,-49.771247184108134
Cell_10,2,8729.177424962336,-53.473113918182875
Cell_13,3,11547.566359203338,-46.31549262675519
Cell_15,1,3280.980263748094,-37.612810621691935
Cell_16,1,7582.7936012936025,-45.350311850311854
Cell_17,1,4691.683640913357,-50.13700344072568
Cell_20,1,12817.143809250214,-48.9578282102844
Cell_21,1,3426.1749157353197,-91.88149725031045
Cell_22,1,5157.435323646905,-84.1451196662778
Cell_23,5,1480.0390641541394,-61.31039593478721
Cell_24,2,9461.603944409204,-55.56052130788304
Cell_25,3,12633.158039509875,-58.75377177627741
Cell_26,2,10688.079207301826,-73.60596399099775
Cell_27,3,12065.723040430503,-73.38752389718898
Cell_28,3,13121.71030541168,-81.66815502768351
Cell_29,1,4216.013943165919,-74.05760602113186
Cell_30,5,569.0051671412,-78.53595908467784
Cell_31,7,2851.3394525758704,-89.30364673778219
Cell_33,6,1324.5454385139901,-97.24617916764635
Cell_34,1,3272.789499036609,-134.01750160565192
Cell_35,2,9137.065470020189,-125.94064051503081
Cell_36,2,9265.449904807234,-122.75309376487387
Cell_37,1,3603.864777989649,-138.48084990465813
Cell_38,2,9856.904745430433,-126.79167387418556
Cell_40,2,9993.975459803054,-133.46355442088262
Cell_41,5,11006.365663322185,-135.47829931188252
Cell_42,3,11766.123323096816,-133.09269435914013
Cell_43,1,4510.078200147984,-143.75221975582687
Cell_44,1,12922.530949105912,-127.16596127393926
Cell_45,5,13714.760391198044,-154.93925470027818
Cell_47,2,9423.857943349753,-159.9070197044335
Cell_48,6,2553.5340472267985,-168.39476935749587
Cell_49,6,6873.3405355916675,-157.09036392767226
Cell_50,6,7081.700869066164,-173.70480446011314
Cell_51,7,5523.493848136865,-177.94879306304196
Cell_52,1,4053.37271828073,-166.74453736174806
Cell_53,4,6314.988253319714,-157.1312199036918
Cell_54,5,1033.0219326128417,-159.98455181182453
Cell_55,7,2246.444957460054,-187.9717783772567
Cell_56,7,2811.9539800995026,-173.63814262023217
Cell_57,3,11304.52256939036,-170.8976355876764
Cell_60,2,8723.938967838445,-197.695188232361
Cell_61,3,10627.521561338292,-188.58451053283767
Cell_62,3,11822.7615325532,-214.45484118736732
