barcode,x,y,pred_3PCs_k7,refined_pred_3PCs_k7,pred_10PCs_k7,refined_pred_10PCs_k7
Cell_9,4980.7776640043685,-49.771247184108134,3,3,6,6
Cell_10,8729.177424962336,-53.473113918182875,0,0,2,2
Cell_13,11547.566359203338,-46.31549262675519,2,2,5,5
Cell_15,3280.980263748094,-37.612810621691935,3,3,1,1
Cell_16,7582.7936012936025,-45.350311850311854,2,0,6,6
Cell_17,4691.683640913357,-50.13700344072568,2,2,1,1
Cell_20,12817.143809250214,-48.9578282102844,3,3,5,5
Cell_21,3426.1749157353197,-91.88149725031045,2,3,1,1
Cell_22,5157.435323646905,-84.1451196662778,1,1,1,1
Cell_23,1480.0390641541394,-61.31039593478721,6,6,0,0
Cell_24,9461.603944409204,-55.56052130788304,0,0,5,5
Cell_25,12633.158039509875,-58.75377177627741,3,3,5,5
Cell_26,10688.079207301826,-73.60596399099775,3,3,2,2
Cell_27,12065.723040430503,-73.38752389718898,0,0,5,5
Cell_28,13121.71030541168,-81.66815502768351,2,3,3,3
Cell_29,4216.013943165919,-74.05760602113186,2,2,1,1
Cell_30,569.0051671412,-78.53595908467784,5,5,0,0
Cell_31,2851.3394525758704,-89.30364673778219,4,4,4,4
Cell_33,1324.5454385139901,-97.24617916764635,6,6,0,0
Cell_34,3272.789499036609,-134.01750160565192,3,3,6,6
Cell_35,9137.065470020189,-125.94064051503081,2,0,2,2
Cell_36,9265.449904807234,-122.75309376487387,1,0,2,2
Cell_37,3603.864777989649,-138.48084990465813,3,3,1,1
Cell_38,9856.904745430433,-126.79167387418556,2,2,2,2
Cell_40,9993.975459803054,-133.46355442088262,2,2,2,2
Cell_41,11006.365663322185,-135.47829931188252,5,5,3,3
Cell_42,11766.123323096816,-133.09269435914013,2,2,5,5
Cell_43,4510.078200147984,-143.75221975582687,0,2,1,1
Cell_44,12922.530949105912,-127.16596127393926,3,3,3,3
Cell_45,13714.760391198044,-154.93925470027818,6,6,0,0
Cell_47,9423.857943349753,-159.9070197044335,0,0,5,5
Cell_48,2553.5340472267985,-168.39476935749587,4,4,4,4
Cell_49,6873.3405355916675,-157.09036392767226,1,1,3,3
Cell_50,7081.700869066164,-173.70480446011314,1,1,6,6
Cell_51,5523.493848136865,-177.94879306304196,4,4,4,4
Cell_52,4053.37271828073,-166.74453736174806,2,2,1,1
Cell_53,6314.988253319714,-157.1312199036918,1,1,6,6
Cell_54,1033.0219326128417,-159.98455181182453,5,5,0,0
Cell_55,2246.444957460054,-187.9717783772567,4,4,4,4
Cell_56,2811.9539800995026,-173.63814262023217,4,4,4,4
