ID,x,y,kmeans
Cell_9,4980.77766400437,-49.7712471841081,1
Cell_10,8729.17742496234,-53.4731139181829,6
Cell_13,11547.5663592033,-46.3154926267552,6
Cell_15,3280.98026374809,-37.6128106216919,4
Cell_16,7582.7936012936,-45.3503118503119,3
Cell_17,4691.68364091336,-50.1370034407257,3
Cell_20,12817.1438092502,-48.9578282102844,6
Cell_21,3426.17491573532,-91.8814972503104,4
Cell_22,5157.4353236469,-84.1451196662778,1
Cell_23,1480.03906415414,-61.3103959347872,5
Cell_24,9461.6039444092,-55.560521307883,6
Cell_25,12633.1580395099,-58.7537717762774,6
Cell_26,10688.0792073018,-73.6059639909978,6
Cell_27,12065.7230404305,-73.387523897189,6
Cell_28,13121.7103054117,-81.6681550276835,6
Cell_29,4216.01394316592,-74.0576060211319,3
Cell_30,569.0051671412,-78.5359590846778,5
Cell_31,2851.33945257587,-89.3036467377822,4
Cell_33,1324.54543851399,-97.2461791676463,5
Cell_34,3272.78949903661,-134.017501605652,4
Cell_35,9137.06547002019,-125.940640515031,6
Cell_36,9265.44990480723,-122.753093764874,6
Cell_37,3603.86477798965,-138.480849904658,3
Cell_38,9856.90474543043,-126.791673874186,6
Cell_40,9993.97545980305,-133.463554420883,6
Cell_41,11006.3656633222,-135.478299311883,6
Cell_42,11766.1233230968,-133.09269435914,6
Cell_43,4510.07820014798,-143.752219755827,3
Cell_44,12922.5309491059,-127.165961273939,6
Cell_45,13714.760391198,-154.939254700278,0
Cell_47,9423.85794334975,-159.907019704434,6
Cell_48,2553.5340472268,-168.394769357496,4
Cell_49,6873.34053559167,-157.090363927672,1
Cell_50,7081.70086906616,-173.704804460113,1
Cell_51,5523.49384813687,-177.948793063042,1
Cell_52,4053.37271828073,-166.744537361748,3
Cell_53,6314.98825331971,-157.131219903692,1
Cell_54,1033.02193261284,-159.984551811825,5
Cell_55,2246.44495746005,-187.971778377257,4
Cell_56,2811.9539800995,-173.638142620232,4
Cell_57,11304.5225693904,-170.897635587676,6
Cell_60,8723.93896783845,-197.695188232361,6
Cell_61,10627.5215613383,-188.584510532838,6
Cell_62,11822.7615325532,-214.454841187367,6
Cell_63,934.070542464949,-184.906041253762,5
Cell_64,10469.8046691225,-224.012027872709,6
Cell_65,5405.77069525377,-217.978070370535,1
Cell_67,12753.1311715064,-253.016147252309,6
