"ID","x","y","label","truth"
"cell_778",18171.23046875,24590.794921875,6,"Layer 6"
"cell_1409",19838.080078125,6456.14453125,6,"Internal Capsule Caudoputamen"
"cell_3642",11247.43359375,36626.890625,14,"Layer 4"
"cell_1302",19253.23046875,7389.7314453125,6,"Internal Capsule Caudoputamen"
"cell_1285",19612.52734375,10793.16015625,6,"Internal Capsule Caudoputamen"
"cell_769",18374.294921875,26286.857421875,9,"Layer 4"
"cell_1466",18132.01953125,2115.037109375,6,"White matter"
"cell_5870",4197.7890625,39465.35546875,7,"Layer 4"
"cell_1392",20452.072265625,6184.98095703125,6,"Internal Capsule Caudoputamen"
"cell_5682",3757.86645507812,46281.16796875,14,"Layer 2-3 medial"
"cell_1274",19865.623046875,8311.1728515625,6,"Internal Capsule Caudoputamen"
"cell_1464",18185.3515625,2875.96435546875,6,"White matter"
"cell_1263",20162.849609375,10008.2587890625,6,"Internal Capsule Caudoputamen"
"cell_1277",19770.333984375,7493.36865234375,6,"Internal Capsule Caudoputamen"
"cell_6337",2693.98950195312,32856.0859375,13,"Layer 6"
"cell_4303",12253.1162109375,20071.134765625,11,"Hippocampus"
"cell_2071",13784.1181640625,32426.46484375,7,"Layer 4"
"cell_1416",19527.755859375,6218.57080078125,6,"Internal Capsule Caudoputamen"
"cell_993",19648.705078125,15436.1064453125,12,"White matter"
"cell_1273",19862.853515625,9628.2724609375,6,"Internal Capsule Caudoputamen"
"cell_6195",1359.35729980469,36330.04296875,16,"Layer 5"
"cell_4907",8659.3037109375,35851.49609375,8,"Layer 5"
"cell_4094",10190.951171875,30338.134765625,13,"Layer 6"
"cell_2244",14032.2138671875,28694.6328125,13,"Layer 6"
"cell_5036",5298.84375,36870.7265625,4,"Layer 5"
"cell_1299",19340.587890625,7511.05810546875,6,"Internal Capsule Caudoputamen"
"cell_2209",14993.7880859375,30330.203125,10,"Layer 5"
"cell_4690",8909.125,43113.53515625,8,"Layer 2-3 medial"
"cell_1411",19717.802734375,6387.9873046875,6,"Internal Capsule Caudoputamen"
"cell_5719",2858.60717773438,44533.296875,14,"Layer 2-3 medial"
"cell_1249",20432.177734375,9290.2138671875,6,"Internal Capsule Caudoputamen"
"cell_6435",693.237854003906,35159.140625,13,"Layer 6"
"cell_6046",5280.6044921875,36870.1953125,4,"Layer 5"
"cell_645",19085.96484375,27355.82421875,7,"Layer 4"
"cell_3427",11204.0791015625,40474.3828125,8,"Layer 2-3 medial"
"cell_1297",19350.8984375,9761.8818359375,6,"Internal Capsule Caudoputamen"
"cell_4287",13106.2373046875,20447.455078125,12,"White matter"
"cell_3959",12959.7509765625,28200.171875,13,"Layer 6"
"cell_1148",19145.40625,11503.7021484375,6,"White matter"
"cell_5867",4284.53857421875,41108.64453125,14,"Layer 2-3 medial"
"cell_1845",13987.6328125,36954.24609375,14,"Layer 3-4"
"cell_5754",2276.58056640625,45376.19140625,14,"Layer 2-3 medial"
"cell_1414",19584.9921875,6383.09716796875,6,"Internal Capsule Caudoputamen"
"cell_1286",19600.275390625,7779.64599609375,6,"Internal Capsule Caudoputamen"
"cell_2646",14078.6650390625,20070.03125,12,"White matter"
"cell_4980",6898.49853515625,37144.87109375,14,"Layer 4"
"cell_2311",12681.794921875,29283.869140625,10,"Layer 6"
"cell_765",18527.7421875,24763.673828125,6,"Layer 6"
"cell_1279",19673.88671875,9450.06640625,6,"Internal Capsule Caudoputamen"
"cell_4568",7699.19970703125,43542.00390625,8,"Layer 2-3 medial"
"cell_3901",9629.8359375,32022.142578125,13,"Layer 6"
"cell_2848",15135.166015625,12878.3251953125,15,"White matter"
"cell_1284",19618.33203125,9121.47265625,6,"Internal Capsule Caudoputamen"
"cell_1271",19997.607421875,9890.234375,6,"Internal Capsule Caudoputamen"
"cell_1306",19076.4375,8711.9775390625,6,"Internal Capsule Caudoputamen"
"cell_3477",9921.7578125,41871.0078125,8,"Layer 2-3 medial"
"cell_170",17883.451171875,39286.3046875,10,"Layer 2-3 lateral"
"cell_2157",16436.380859375,28542.064453125,10,"Layer 5"
"cell_1806",14537.8857421875,37777.10546875,8,"Layer 2-3 lateral"
"cell_4609",6437.62060546875,45215.09765625,8,"Layer 2-3 medial"
"cell_3758",8667.9892578125,35860.99609375,8,"Layer 5"
"cell_2083",13592.798828125,32650.369140625,7,"Layer 4"
"cell_687",17911.666015625,29505.9609375,4,"Layer 4"
"cell_2293",12959.7509765625,28200.171875,13,"Layer 6"
