barcode,mclust,x,y
cell_778,4,18171.23,24590.795
cell_1409,4,19838.08,6456.1445
cell_3642,4,11247.434,36626.89
cell_1302,4,19253.23,7389.7314
cell_1285,4,19612.527,10793.16
cell_769,4,18374.295,26286.857
cell_1466,4,18132.02,2115.037
cell_5870,1,4197.789,39465.355
cell_1392,4,20452.072,6184.981
cell_5682,4,3757.8665,46281.168
cell_1274,4,19865.623,8311.173
cell_1464,4,18185.352,2875.9644
cell_1263,4,20162.85,10008.259
cell_1277,4,19770.334,7493.3687
cell_6337,4,2693.9895,32856.086
cell_4303,4,12253.116,20071.135
cell_2071,4,13784.118,32426.465
cell_1416,4,19527.756,6218.571
cell_993,4,19648.705,15436.106
cell_1273,4,19862.854,9628.272
cell_6195,4,1359.3573,36330.043
cell_4907,4,8659.304,35851.496
cell_4094,4,10190.951,30338.135
cell_2244,4,14032.214,28694.633
cell_5036,4,5298.8438,36870.727
cell_1299,4,19340.588,7511.058
cell_2209,11,14993.788,30330.203
cell_4690,4,8909.125,43113.535
cell_1411,4,19717.803,6387.9873
cell_5719,3,2858.6072,44533.297
cell_1249,4,20432.178,9290.214
cell_6435,4,693.23785,35159.14
cell_6046,4,5280.6045,36870.195
cell_645,4,19085.965,27355.824
cell_3427,4,11204.079,40474.383
cell_1297,7,19350.898,9761.882
cell_4287,4,13106.237,20447.455
cell_3959,6,12959.751,28200.172
cell_1148,4,19145.406,11503.702
cell_5867,4,4284.5386,41108.645
cell_1845,4,13987.633,36954.246
cell_5754,4,2276.5806,45376.19
cell_1414,4,19584.992,6383.097
cell_1286,4,19600.275,7779.646
cell_2646,4,14078.665,20070.031
cell_4980,4,6898.4985,37144.87
cell_2311,2,12681.795,29283.87
cell_765,4,18527.742,24763.674
cell_1279,4,19673.887,9450.066
cell_4568,4,7699.1997,43542.004
cell_3901,4,9629.836,32022.143
cell_2848,4,15135.166,12878.325
cell_1284,4,19618.332,9121.473
cell_1271,4,19997.607,9890.234
cell_1306,4,19076.438,8711.978
cell_3477,4,9921.758,41871.008
cell_170,4,17883.451,39286.305
cell_2157,4,16436.38,28542.064
cell_1806,4,14537.886,37777.105
cell_4609,4,6437.6206,45215.098
cell_3758,4,8667.989,35860.996
cell_2083,4,13592.799,32650.37
cell_687,4,17911.666,29505.96
cell_2293,6,12959.751,28200.172
cell_1425,4,19226.197,6821.618
cell_6196,4,1355.3733,36097.73
cell_1334,4,18460.586,7924.181
cell_6157,4,2342.539,38931.16
cell_3313,4,10716.99,43654.133
cell_5692,4,3518.9292,45751.4
cell_5724,4,2783.4177,46250.8
cell_1281,4,19659.797,7962.2534
cell_4725,11,8009.1436,40652.227
cell_1290,4,19538.686,10010.494
cell_4504,4,12824.214,1349.5116
cell_3881,4,10241.322,30568.66
cell_205,4,20575.797,36862.57
cell_6302,4,3551.949,33796.723
cell_5048,4,5002.1084,38313.703
cell_5413,4,5950.14,30493.28
cell_5857,4,4503.3535,40929.594
cell_1253,4,20310.291,7655.4116
cell_1291,4,19448.463,8294.51
cell_768,4,18452.836,24291.797
cell_767,4,18386.684,24722.69
cell_3307,4,11851.83,43454.39
cell_7328,4,1335.5299,36207.46
cell_164,4,18996.977,38691.633
cell_2843,11,15492.741,11871.765
cell_5386,4,6703.53,27688.848
cell_2670,4,13106.237,20447.455
cell_7350,4,713.27405,36019.113
cell_5740,6,2430.1938,45660.766
cell_1267,4,20022.936,9366.701
cell_1259,4,20275.918,9768.025
cell_1408,4,19882.553,6004.248
cell_6218,4,713.27405,36019.113
cell_2174,4,15936.396,28541.92
cell_6015,4,1359.5039,40071.07
cell_4435,4,12832.136,13389.449
cell_1301,4,19228.191,7636.379
cell_4672,4,9280.057,42805.496
cell_6058,4,5002.1084,38313.703
cell_5185,4,6893.05,31963.344
cell_1465,4,18213.785,2078.7517
cell_6254,4,4592.1514,34199.652
cell_5219,4,6057.637,32693.977
cell_4990,4,6721.8716,36074.11
cell_3560,4,12942.834,38886.11
cell_1336,4,18370.938,7266.5166
cell_1289,4,19542.518,9308.741
cell_3759,4,13252.638,31563.875
cell_6174,4,1876.4567,36775.746
cell_1280,4,19672.307,7355.9526
cell_6189,4,1496.2668,37761.934
cell_1415,4,19555.535,5931.058
cell_1269,4,20038.49,9072.821
cell_7382,4,33.126083,35980.4
cell_1272,4,19919.322,8767.724
cell_6372,4,2074.549,34267.695
cell_1264,4,20119.643,9696.911
cell_2233,4,14342.004,27532.93
cell_7383,4,0.0,35517.633
cell_5877,4,4082.4478,41511.016
cell_1296,4,19342.502,10949.528
cell_1275,2,19811.113,8519.775
cell_5806,4,1005.46893,44609.62
cell_6722,4,1005.46893,44609.62
cell_3699,4,9945.458,38609.496
cell_3877,4,10250.76,31080.656
cell_1282,4,19629.732,8809.763
cell_2187,4,15605.381,29312.863
cell_5231,4,5793.366,31554.096
cell_1429,4,18921.941,6466.847
cell_1293,4,19402.303,10034.364
cell_2148,7,16622.707,28840.742
cell_809,2,17354.088,22968.227
cell_1260,2,20199.111,8427.789
cell_1399,4,20204.854,6197.48
cell_3583,4,12499.736,37853.36
cell_2076,4,13681.238,30562.45
cell_3803,4,12358.727,33802.633
cell_1257,4,20201.596,9179.311
cell_5681,4,3823.7903,45174.426
cell_4031,4,11423.317,28857.232
cell_1268,4,20054.262,10376.164
cell_800,4,17566.225,25440.639
cell_4055,4,10956.4375,30242.676
cell_1308,4,19067.918,8276.797
cell_2098,4,13252.638,31563.875
cell_1421,7,19291.75,5667.302
cell_3908,4,9476.432,33206.04
cell_3294,4,12824.214,1349.5116
cell_1320,4,18700.422,8429.122
cell_3915,4,9297.872,31276.361
cell_1295,4,19369.684,7812.3433
cell_3987,4,12436.039,28826.895
cell_4625,4,6079.792,45397.38
cell_7363,4,403.26102,37426.566
cell_1410,4,19783.777,5078.5127
cell_5155,4,7546.69,32467.377
cell_4735,4,7782.165,38885.55
cell_1451,4,18300.82,3083.758
cell_6071,11,4703.824,37976.816
cell_5061,11,4707.203,37976.45
cell_7653,4,566.95386,34516.676
cell_3874,4,10346.143,33854.676
cell_2509,4,13418.468,26219.43
cell_6187,4,1490.3859,36297.074
cell_5513,2,6559.0635,26013.025
cell_723,11,16953.385,27901.146
cell_6097,4,3987.314,38306.87
cell_4613,11,6408.2803,42995.062
cell_3706,11,9782.971,38868.676
cell_5670,4,4076.8535,44235.125
cell_5452,11,9069.073,23565.637
cell_5281,11,4714.2046,32037.76
cell_4218,4,11514.525,27171.254
cell_56,11,20809.416,34629.094
cell_2169,11,16081.239,26744.701
cell_6531,11,999.70294,29178.139
cell_6181,11,1681.8689,37321.688
cell_655,4,18842.424,26948.404
cell_868,4,18586.986,22602.205
cell_4748,4,7461.8384,42949.105
cell_6720,4,1040.1134,44720.305
cell_4630,2,5883.7695,44115.83
cell_2061,11,14093.564,31575.938
cell_4323,2,11504.594,19746.52
cell_6513,11,2076.0579,29081.854
cell_6288,11,3919.7039,33218.355
cell_6096,4,3987.559,38428.23
cell_243,11,19380.238,37035.45
cell_6353,6,2402.8206,32537.586
cell_4449,2,13250.991,11058.384
cell_697,11,17700.521,27421.71
cell_89,11,21814.61,31436.367
cell_6153,11,2559.703,34706.434
cell_5113,11,8338.296,33181.684
cell_5696,11,3413.475,44882.664
cell_2123,4,12707.157,31244.791
cell_4768,4,6999.6406,42640.543
cell_4252,11,10009.912,25219.834
cell_3462,11,10275.357,42544.152
cell_2510,4,13394.419,25294.979
cell_3574,4,12686.526,37851.652
cell_6456,11,4725.7812,28022.336
cell_4035,2,11262.31,28885.95
cell_5698,4,3341.6174,45266.32
cell_5488,11,7867.0425,25857.285
cell_4596,11,6769.721,43848.5
cell_6193,4,1397.7092,34630.547
cell_6251,11,4709.1187,32040.838
cell_6490,11,3376.9543,28725.084
cell_4752,11,7428.325,39071.723
cell_5804,4,1040.1134,44720.305
cell_5793,4,1326.0262,46286.742
cell_6496,11,3138.908,28701.422
cell_2253,11,13874.817,29543.25
cell_1906,4,12688.647,37851.45
cell_5057,4,4714.7627,35892.2
cell_2224,11,14593.221,27587.777
cell_2208,11,15109.28,29349.633
cell_2282,4,13158.97,28998.332
cell_212,11,20369.152,34804.9
cell_4782,11,6784.786,43194.418
cell_1495,4,17712.557,2726.3025
cell_5444,11,4725.7812,28022.336
cell_2443,11,14728.688,24068.613
cell_6529,2,1120.4294,29299.309
cell_634,4,19324.54,29058.45
cell_4270,11,9262.868,23873.44
cell_6422,11,1069.8601,33922.79
cell_818,11,17110.016,24259.633
cell_6182,11,1674.0305,35120.277
cell_5923,10,3115.2886,38974.906
cell_4032,4,11364.418,27965.729
cell_5564,11,8840.778,22137.55
cell_4407,11,13009.197,17241.535
cell_4893,11,8980.437,36108.176
cell_6508,11,2404.3127,30483.617
cell_4274,11,9069.073,23565.637
cell_6172,11,1902.6552,34609.055
cell_3707,11,9730.186,38727.21
cell_5794,4,1354.742,45180.414
cell_4300,2,12597.898,22228.85
cell_3422,11,11387.633,42008.16
cell_2753,4,14040.651,16092.473
cell_6369,11,2120.4897,31900.719
cell_2467,4,14244.622,25960.488
cell_3948,4,13158.97,28998.332
cell_4432,11,12871.181,11013.2705
cell_1006,11,19211.475,16561.748
cell_736,4,20224.883,26274.324
cell_301,4,17732.723,35995.297
cell_5947,11,2593.305,39755.312
cell_842,11,20534.266,19285.033
cell_4166,2,13305.621,25389.656
cell_5448,11,9262.868,23873.44
cell_5233,4,5814.467,34178.484
cell_6517,11,1848.6394,28792.592
cell_6067,4,4788.3555,35828.406
cell_3745,11,8980.437,36108.176
cell_3713,11,9642.068,35246.29
cell_6315,11,3277.6106,34331.707
cell_2739,11,15292.1,16553.477
cell_5403,2,6326.037,29713.389
cell_4343,11,10933.273,22297.361
cell_5112,11,8341.233,33050.066
cell_7632,11,1069.8601,33922.79
cell_2859,11,13865.051,11927.1
cell_3110,11,16575.57,3477.2998
cell_5136,4,7935.7686,31443.377
cell_3834,4,11461.887,30994.453
cell_5703,11,3253.9158,43303.734
cell_7648,11,674.46423,32493.916
cell_2472,4,14130.984,25994.342
cell_1009,11,19112.053,16694.03
cell_2264,11,13660.411,31179.965
cell_7837,2,148.63739,27985.621
cell_4253,11,9918.993,25432.502
cell_2215,11,14918.928,29172.678
cell_4491,4,13000.582,677.6788
cell_706,11,17557.43,28216.645
cell_621,11,19766.828,28982.137
cell_4750,11,7448.4062,39171.168
cell_2444,4,14691.603,25148.818
cell_4945,2,7785.526,35843.95
cell_2137,11,16953.385,27901.146
cell_4392,11,8840.778,22137.55
cell_487,11,18403.572,32749.145
cell_690,4,17831.16,27578.846
cell_4843,4,5467.099,42176.312
cell_1745,11,15757.033,36074.61
cell_1046,4,18079.129,17272.076
cell_5790,4,1404.9232,46265.234
cell_4243,11,10343.943,24818.52
cell_2784,11,13009.197,17241.535
cell_4020,11,11595.572,27381.812
cell_3478,11,9940.236,41618.152
cell_5508,11,6717.432,26922.85
cell_1863,11,13546.647,37090.875
cell_2489,4,13864.639,26333.06
cell_3281,4,13000.582,677.6788
cell_860,2,19076.111,19322.066
cell_852,2,19740.785,19190.586
cell_3576,2,12643.832,36160.4
cell_3702,2,9917.385,34735.402
cell_3735,2,9182.083,36792.92
cell_4599,2,6733.847,45451.406
cell_5845,4,4768.166,42216.656
cell_5738,4,2482.373,42636.246
cell_2242,2,14098.803,27973.352
cell_1588,2,15814.601,41593.188
cell_4883,2,9182.083,36792.92
cell_6289,2,3890.5876,33395.574
cell_4870,4,4768.166,42216.656
cell_2852,4,14770.124,14554.604
cell_5688,4,3594.9075,45932.74
cell_7341,10,944.8218,35969.69
cell_2787,2,12956.967,16739.578
cell_4866,4,4879.392,42357.33
cell_4006,2,12027.715,29094.18
cell_6161,2,2289.3481,35153.152
cell_1091,4,16738.242,15098.057
cell_856,2,19564.166,19118.078
cell_2462,2,14287.84,24951.408
cell_2520,2,13147.711,27031.535
cell_1908,2,12653.372,36154.934
cell_850,2,19976.965,19460.951
cell_16,2,22447.22,34810.543
cell_3597,2,12164.019,37025.617
cell_4667,4,4645.327,43437.805
cell_5310,2,8631.658,30252.07
cell_2258,2,13672.683,27715.32
cell_5841,4,4879.392,42357.33
cell_4410,2,12956.967,16739.578
cell_1835,2,14013.533,36418.855
cell_2857,4,14267.285,11515.604
cell_4115,7,9798.185,28811.61
cell_1241,2,20587.146,10250.297
cell_5735,4,2519.607,42806.008
cell_1619,4,14608.543,41529.367
cell_4602,4,6620.696,44859.23
cell_4065,4,10836.047,28158.049
cell_2122,2,12659.339,31394.96
cell_6209,10,944.8218,35969.69
cell_3737,2,9110.906,35106.22
cell_4574,4,7424.274,45067.11
cell_1715,2,16408.662,37988.79
cell_3334,4,9296.089,44520.688
cell_4979,4,6967.9385,37080.168
cell_1455,4,18261.396,6063.0913
cell_6042,4,779.2849,39530.285
