x,y,barcode,STAMarker_label,true_label
18171.23,24590.795,cell_778,10,Layer 6
19838.08,6456.1445,cell_1409,10,Internal Capsule Caudoputamen
11247.434,36626.89,cell_3642,6,Layer 4
19253.23,7389.7314,cell_1302,10,Internal Capsule Caudoputamen
19612.527,10793.16,cell_1285,10,Internal Capsule Caudoputamen
18374.295,26286.857,cell_769,6,Layer 4
18132.02,2115.037,cell_1466,10,White matter
4197.789,39465.355,cell_5870,1,Layer 4
20452.072,6184.981,cell_1392,10,Internal Capsule Caudoputamen
3757.8665,46281.168,cell_5682,5,Layer 2-3 medial
19865.623,8311.173,cell_1274,1,Internal Capsule Caudoputamen
18185.352,2875.9644,cell_1464,10,White matter
20162.85,10008.259,cell_1263,10,Internal Capsule Caudoputamen
19770.334,7493.3687,cell_1277,10,Internal Capsule Caudoputamen
2693.9895,32856.086,cell_6337,6,Layer 6
12253.116,20071.135,cell_4303,7,Hippocampus
13784.118,32426.465,cell_2071,1,Layer 4
19527.756,6218.571,cell_1416,10,Internal Capsule Caudoputamen
19648.705,15436.106,cell_993,1,White matter
19862.854,9628.272,cell_1273,10,Internal Capsule Caudoputamen
1359.3573,36330.043,cell_6195,10,Layer 5
8659.304,35851.496,cell_4907,1,Layer 5
10190.951,30338.135,cell_4094,3,Layer 6
14032.214,28694.633,cell_2244,10,Layer 6
5298.8438,36870.727,cell_5036,6,Layer 5
19340.588,7511.058,cell_1299,10,Internal Capsule Caudoputamen
14993.788,30330.203,cell_2209,6,Layer 5
8909.125,43113.535,cell_4690,1,Layer 2-3 medial
19717.803,6387.9873,cell_1411,10,Internal Capsule Caudoputamen
2858.6072,44533.297,cell_5719,0,Layer 2-3 medial
20432.178,9290.214,cell_1249,10,Internal Capsule Caudoputamen
693.23785,35159.14,cell_6435,1,Layer 6
5280.6045,36870.195,cell_6046,6,Layer 5
19085.965,27355.824,cell_645,6,Layer 4
11204.079,40474.383,cell_3427,6,Layer 2-3 medial
19350.898,9761.882,cell_1297,1,Internal Capsule Caudoputamen
13106.237,20447.455,cell_4287,10,White matter
12959.751,28200.172,cell_3959,8,Layer 6
19145.406,11503.702,cell_1148,10,White matter
4284.5386,41108.645,cell_5867,3,Layer 2-3 medial
13987.633,36954.246,cell_1845,6,Layer 3-4
2276.5806,45376.19,cell_5754,6,Layer 2-3 medial
19584.992,6383.097,cell_1414,10,Internal Capsule Caudoputamen
19600.275,7779.646,cell_1286,10,Internal Capsule Caudoputamen
14078.665,20070.031,cell_2646,10,White matter
6898.4985,37144.87,cell_4980,1,Layer 4
12681.795,29283.87,cell_2311,7,Layer 6
18527.742,24763.674,cell_765,1,Layer 6
19673.887,9450.066,cell_1279,10,Internal Capsule Caudoputamen
7699.1997,43542.004,cell_4568,1,Layer 2-3 medial
9629.836,32022.143,cell_3901,10,Layer 6
15135.166,12878.325,cell_2848,6,White matter
19618.332,9121.473,cell_1284,10,Internal Capsule Caudoputamen
19997.607,9890.234,cell_1271,10,Internal Capsule Caudoputamen
19076.438,8711.978,cell_1306,10,Internal Capsule Caudoputamen
9921.758,41871.008,cell_3477,6,Layer 2-3 medial
17883.451,39286.305,cell_170,10,Layer 2-3 lateral
16436.38,28542.064,cell_2157,3,Layer 5
14537.886,37777.105,cell_1806,1,Layer 2-3 lateral
6437.6206,45215.098,cell_4609,10,Layer 2-3 medial
8667.989,35860.996,cell_3758,1,Layer 5
13592.799,32650.37,cell_2083,6,Layer 4
17911.666,29505.96,cell_687,1,Layer 4
12959.751,28200.172,cell_2293,1,Layer 6
19226.197,6821.618,cell_1425,10,Internal Capsule Caudoputamen
1355.3733,36097.73,cell_6196,3,Layer 5
18460.586,7924.181,cell_1334,10,Internal Capsule Caudoputamen
2342.539,38931.16,cell_6157,3,Layer 4
10716.99,43654.133,cell_3313,10,Pia Layer 1
3518.9292,45751.4,cell_5692,6,Layer 2-3 medial
2783.4177,46250.8,cell_5724,1,Layer 2-3 medial
19659.797,7962.2534,cell_1281,10,Internal Capsule Caudoputamen
8009.1436,40652.227,cell_4725,6,Layer 2-3 medial
19538.686,10010.494,cell_1290,10,Internal Capsule Caudoputamen
12824.214,1349.5116,cell_4504,1,White matter
10241.322,30568.66,cell_3881,10,Layer 6
20575.797,36862.57,cell_205,5,Layer 2-3 lateral
3551.949,33796.723,cell_6302,6,Layer 6
5002.1084,38313.703,cell_5048,1,Layer 4
5950.14,30493.28,cell_5413,10,Layer 6
4503.3535,40929.594,cell_5857,10,Layer 2-3 medial
20310.291,7655.4116,cell_1253,10,Internal Capsule Caudoputamen
19448.463,8294.51,cell_1291,10,Internal Capsule Caudoputamen
18452.836,24291.797,cell_768,10,Layer 6
18386.684,24722.69,cell_767,1,Layer 6
