ID,x,y,label_3PCs_k11,label_10PCs_k11
cell_778,18171.23,24590.795,0,3
cell_1409,19838.08,6456.1445,6,10
cell_3642,11247.434,36626.89,5,3
cell_1302,19253.23,7389.7314,0,3
cell_1285,19612.527,10793.16,0,3
cell_769,18374.295,26286.857,5,3
cell_1466,18132.02,2115.037,0,3
cell_5870,4197.789,39465.355,0,3
cell_1392,20452.072,6184.981,0,3
cell_5682,3757.8665,46281.168,0,3
cell_1274,19865.623,8311.173,0,10
cell_1464,18185.352,2875.9644,0,3
cell_1263,20162.85,10008.259,0,3
cell_1277,19770.334,7493.3687,0,3
cell_6337,2693.9895,32856.086,5,3
cell_4303,12253.116,20071.135,5,3
cell_2071,13784.118,32426.465,0,3
cell_1416,19527.756,6218.571,0,3
cell_993,19648.705,15436.106,5,3
cell_1273,19862.854,9628.272,0,3
cell_6195,1359.3573,36330.043,0,3
cell_4907,8659.304,35851.496,0,3
cell_4094,10190.951,30338.135,5,3
cell_2244,14032.214,28694.633,0,6
cell_5036,5298.8438,36870.727,5,3
cell_1299,19340.588,7511.058,6,10
cell_2209,14993.788,30330.203,5,3
cell_4690,8909.125,43113.535,0,3
cell_1411,19717.803,6387.9873,0,3
cell_5719,2858.6072,44533.297,10,10
cell_1249,20432.178,9290.214,0,3
cell_6435,693.23785,35159.14,5,6
cell_6046,5280.6045,36870.195,5,3
cell_645,19085.965,27355.824,5,3
cell_3427,11204.079,40474.383,5,3
cell_1297,19350.898,9761.882,6,7
cell_4287,13106.237,20447.455,5,3
cell_3959,12959.751,28200.172,0,3
cell_1148,19145.406,11503.702,0,3
cell_5867,4284.5386,41108.645,5,3
cell_1845,13987.633,36954.246,0,3
cell_5754,2276.5806,45376.19,0,3
cell_1414,19584.992,6383.097,6,3
cell_1286,19600.275,7779.646,0,3
cell_2646,14078.665,20070.031,0,3
cell_4980,6898.4985,37144.87,0,3
cell_2311,12681.795,29283.87,0,6
cell_765,18527.742,24763.674,6,10
cell_1279,19673.887,9450.066,0,10
cell_4568,7699.1997,43542.004,0,3
cell_3901,9629.836,32022.143,5,3
cell_2848,15135.166,12878.325,5,3
cell_1284,19618.332,9121.473,0,3
cell_1271,19997.607,9890.234,0,3
cell_1306,19076.438,8711.978,0,3
cell_3477,9921.758,41871.008,5,3
cell_170,17883.451,39286.305,0,3
cell_2157,16436.38,28542.064,5,3
cell_1806,14537.886,37777.105,0,3
cell_4609,6437.6206,45215.098,0,3
cell_3758,8667.989,35860.996,0,3
cell_2083,13592.799,32650.37,0,3
cell_687,17911.666,29505.96,0,3
cell_2293,12959.751,28200.172,0,3
