,X_coord,Y_coord,ground_truth_cluster,pred_3PCs_k10_seed_141,refined_pred_3PCs_k10_seed_141,pred_10PCs_k10_seed_141,refined_pred_10PCs_k10_seed_141,pred_3PCs_k10_seed_549,refined_pred_3PCs_k10_seed_549,pred_10PCs_k10_seed_549,refined_pred_10PCs_k10_seed_549,pred_3PCs_k10_seed_75,refined_pred_3PCs_k10_seed_75,pred_10PCs_k10_seed_75,refined_pred_10PCs_k10_seed_75,pred_3PCs_k10_seed_492,refined_pred_3PCs_k10_seed_492,pred_10PCs_k10_seed_492,refined_pred_10PCs_k10_seed_492,pred_3PCs_k10_seed_676,refined_pred_3PCs_k10_seed_676,pred_10PCs_k10_seed_676,refined_pred_10PCs_k10_seed_676,pred_3PCs_k10_seed_179,refined_pred_3PCs_k10_seed_179,pred_10PCs_k10_seed_179,refined_pred_10PCs_k10_seed_179,pred_3PCs_k10_seed_587,refined_pred_3PCs_k10_seed_587,pred_10PCs_k10_seed_587,refined_pred_10PCs_k10_seed_587,pred_3PCs_k10_seed_592,refined_pred_3PCs_k10_seed_592,pred_10PCs_k10_seed_592,refined_pred_10PCs_k10_seed_592,pred_3PCs_k10_seed_601,refined_pred_3PCs_k10_seed_601,pred_10PCs_k10_seed_601,refined_pred_10PCs_k10_seed_601,pred_3PCs_k10_seed_916,refined_pred_3PCs_k10_seed_916,pred_10PCs_k10_seed_916,refined_pred_10PCs_k10_seed_916,pred_3PCs_k10_seed_518,refined_pred_3PCs_k10_seed_518,pred_10PCs_k10_seed_518,refined_pred_10PCs_k10_seed_518,pred_3PCs_k10_seed_339,refined_pred_3PCs_k10_seed_339,pred_10PCs_k10_seed_339,refined_pred_10PCs_k10_seed_339,pred_3PCs_k10_seed_921,refined_pred_3PCs_k10_seed_921,pred_10PCs_k10_seed_921,refined_pred_10PCs_k10_seed_921,pred_3PCs_k10_seed_423,refined_pred_3PCs_k10_seed_423,pred_10PCs_k10_seed_423,refined_pred_10PCs_k10_seed_423,pred_3PCs_k10_seed_330,refined_pred_3PCs_k10_seed_330,pred_10PCs_k10_seed_330,refined_pred_10PCs_k10_seed_330,pred_3PCs_k10_seed_388,refined_pred_3PCs_k10_seed_388,pred_10PCs_k10_seed_388,refined_pred_10PCs_k10_seed_388,pred_3PCs_k10_seed_273,refined_pred_3PCs_k10_seed_273,pred_10PCs_k10_seed_273,refined_pred_10PCs_k10_seed_273,pred_3PCs_k10_seed_286,refined_pred_3PCs_k10_seed_286,pred_10PCs_k10_seed_286,refined_pred_10PCs_k10_seed_286,pred_3PCs_k10_seed_61,refined_pred_3PCs_k10_seed_61,pred_10PCs_k10_seed_61,refined_pred_10PCs_k10_seed_61,pred_3PCs_k10_seed_807,refined_pred_3PCs_k10_seed_807,pred_10PCs_k10_seed_807,refined_pred_10PCs_k10_seed_807,pred_3PCs_k10_seed_283,refined_pred_3PCs_k10_seed_283,pred_10PCs_k10_seed_283,refined_pred_10PCs_k10_seed_283,pred_3PCs_k10_seed_127,refined_pred_3PCs_k10_seed_127,pred_10PCs_k10_seed_127,refined_pred_10PCs_k10_seed_127,pred_3PCs_k10_seed_165,refined_pred_3PCs_k10_seed_165,pred_10PCs_k10_seed_165,refined_pred_10PCs_k10_seed_165,pred_3PCs_k10_seed_952,refined_pred_3PCs_k10_seed_952,pred_10PCs_k10_seed_952,refined_pred_10PCs_k10_seed_952,pred_3PCs_k10_seed_311,refined_pred_3PCs_k10_seed_311,pred_10PCs_k10_seed_311,refined_pred_10PCs_k10_seed_311,pred_3PCs_k10_seed_597,refined_pred_3PCs_k10_seed_597,pred_10PCs_k10_seed_597,refined_pred_10PCs_k10_seed_597,pred_3PCs_k10_seed_473,refined_pred_3PCs_k10_seed_473,pred_10PCs_k10_seed_473,refined_pred_10PCs_k10_seed_473,pred_3PCs_k10_seed_594,refined_pred_3PCs_k10_seed_594,pred_10PCs_k10_seed_594,refined_pred_10PCs_k10_seed_594,pred_3PCs_k10_seed_605,refined_pred_3PCs_k10_seed_605,pred_10PCs_k10_seed_605,refined_pred_10PCs_k10_seed_605,pred_3PCs_k10_seed_101,refined_pred_3PCs_k10_seed_101,pred_10PCs_k10_seed_101,refined_pred_10PCs_k10_seed_101
0,537.743865677316,83.6366767108928,6,3,3,3,3,0,0,6,6,2,2,2,2,8,8,6,6,0,0,2,2,2,2,5,5,2,2,7,7,5,5,5,5,2,2,8,8,2,2,6,7,5,5,1,1,2,2,4,4,8,8,0,0,0,0,11,11,7,7,4,4,3,3,1,1,5,5,2,2,1,1,4,4,5,5,4,4,10,10,2,2,3,3,1,1,10,10,0,0,0,0,2,2,2,2,9,9,1,1,4,4,7,7,1,1,0,0,8,8,2,2,6,6,6,6,3,3,4,4,3,3
1,557.017219099102,83.6366767108928,6,3,3,6,6,6,6,6,6,0,0,7,7,4,4,0,0,2,2,9,9,2,2,5,5,0,0,8,8,2,2,5,5,4,4,2,2,1,1,7,7,5,5,1,1,2,2,4,4,7,7,5,5,7,7,1,1,1,1,4,4,1,1,0,0,5,5,2,2,2,2,4,4,2,2,3,3,8,8,4,4,1,1,1,1,8,8,3,3,4,4,2,2,1,1,9,9,1,1,4,4,0,0,1,1,2,2,8,8,2,2,6,6,9,9,6,6,4,4,3,3
2,576.290572520888,83.6366767108928,6,6,6,5,5,5,5,2,2,6,6,7,7,10,10,2,2,5,5,1,9,1,1,8,5,4,4,4,8,0,0,7,7,3,3,2,2,6,6,3,3,3,3,7,1,6,6,6,6,1,1,1,1,6,6,11,1,9,9,1,1,4,4,4,4,3,5,5,2,6,6,0,0,0,0,3,3,8,8,2,2,2,2,3,3,1,8,4,4,6,6,2,2,7,7,9,9,6,6,5,5,0,0,3,1,2,2,11,11,3,3,6,6,10,10,2,2,3,3,1,3
3,595.563925942673,83.6366767108928,6,6,6,3,3,5,5,6,6,0,0,1,1,7,7,4,4,6,6,9,9,0,0,5,5,4,4,8,8,6,6,5,5,1,1,2,2,6,6,0,0,3,3,1,1,6,6,4,4,1,1,6,6,6,6,1,1,0,0,1,1,5,5,4,4,4,4,2,2,6,6,4,4,0,0,3,3,8,8,9,9,5,5,1,1,8,8,3,3,2,2,2,2,7,7,5,5,6,6,5,5,0,0,1,1,2,2,2,2,3,3,6,6,10,10,2,2,3,3,3,3
4,846.117520425885,83.6366767108928,1,9,9,8,8,6,6,1,1,0,0,2,2,7,7,7,7,6,6,5,5,0,0,3,3,0,0,2,2,6,6,2,2,1,1,2,2,6,6,2,2,3,3,4,4,6,6,10,10,1,1,2,2,6,4,2,0,0,0,5,2,5,5,1,1,4,4,3,3,6,6,1,1,0,0,6,6,8,8,9,9,5,5,4,4,8,8,7,7,4,4,2,2,7,7,5,5,6,6,8,0,0,0,2,2,2,2,10,10,3,3,0,0,10,10,4,4,3,3,6,6
5,865.39087384767,83.6366767108928,1,3,3,8,8,6,6,8,8,6,6,2,2,5,5,7,7,2,2,2,2,2,2,3,3,0,0,2,2,7,7,2,2,6,6,9,9,1,1,2,2,5,5,4,4,1,1,3,3,0,0,2,2,4,4,0,0,7,7,2,2,1,1,1,1,8,8,7,7,2,2,1,1,3,3,7,7,10,10,3,3,1,1,4,4,10,10,7,7,4,4,2,2,1,1,5,5,1,1,0,0,3,0,0,0,3,3,10,10,2,2,1,0,9,9,3,3,4,4,6,6
6,499.197158833745,102.910030132678,6,9,9,3,3,0,0,6,6,2,2,7,7,1,1,6,6,8,8,8,8,6,6,5,5,2,2,5,5,1,1,5,5,3,3,8,8,6,6,6,6,4,4,3,3,5,5,4,4,7,3,7,7,7,7,11,11,4,4,1,1,5,5,1,1,0,0,3,3,1,1,4,4,6,6,3,3,0,0,2,2,5,3,1,1,6,6,5,5,1,1,0,0,2,2,5,5,10,10,5,5,7,7,3,1,0,0,11,11,4,4,6,6,4,4,4,4,2,2,1,1
7,518.470512255531,102.910030132678,6,4,4,3,3,0,0,3,3,2,2,6,6,1,1,5,5,6,6,8,8,6,6,8,5,2,2,5,5,1,1,2,2,6,6,8,8,6,6,8,8,4,4,4,4,5,5,4,4,3,3,8,8,7,7,11,11,4,4,1,1,5,5,2,2,0,0,3,3,1,1,4,4,6,6,3,3,0,0,1,1,3,3,1,1,2,2,5,5,1,1,7,7,2,2,4,4,0,0,5,5,7,7,1,1,0,0,5,5,4,4,6,6,4,4,0,0,2,2,6,3
8,537.743865677316,102.910030132678,6,6,6,2,3,5,0,3,3,0,0,2,2,7,7,7,7,6,6,6,6,0,2,3,3,4,2,7,7,6,6,2,2,0,0,7,7,6,6,7,7,3,3,4,4,6,6,3,3,5,5,5,5,10,10,4,4,9,9,6,6,5,5,6,6,3,3,7,7,6,1,1,1,6,6,6,6,6,6,0,0,1,1,7,7,5,5,0,0,2,2,1,1,7,7,2,2,5,5,7,7,0,0,2,2,2,2,10,10,3,3,7,7,10,10,3,3,3,3,3,3
9,557.017219099102,102.910030132678,6,3,3,1,1,0,0,3,3,2,2,3,3,8,7,5,5,0,0,4,4,2,2,5,5,2,0,7,7,2,2,5,5,2,2,4,4,2,2,7,7,5,5,1,1,2,2,7,7,8,7,3,5,0,7,4,4,7,7,6,6,3,3,0,0,5,5,4,4,1,1,1,1,5,5,6,6,8,8,8,8,3,3,1,1,10,10,3,3,1,4,7,2,2,2,3,3,1,1,6,6,0,0,3,3,0,0,10,10,2,2,4,4,6,6,8,8,4,4,3,3
