,X_coord,Y_coord,ground_truth_cluster,initial_pred_seed_141,refined_pred_seed_141,initial_pred_seed_549,refined_pred_seed_549,initial_pred_seed_75,refined_pred_seed_75,initial_pred_seed_492,refined_pred_seed_492,initial_pred_seed_676,refined_pred_seed_676,initial_pred_seed_179,refined_pred_seed_179,initial_pred_seed_587,refined_pred_seed_587,initial_pred_seed_592,refined_pred_seed_592,initial_pred_seed_601,refined_pred_seed_601,initial_pred_seed_916,refined_pred_seed_916,initial_pred_seed_518,refined_pred_seed_518,initial_pred_seed_339,refined_pred_seed_339,initial_pred_seed_921,refined_pred_seed_921,initial_pred_seed_423,refined_pred_seed_423,initial_pred_seed_330,refined_pred_seed_330,initial_pred_seed_388,refined_pred_seed_388,initial_pred_seed_273,refined_pred_seed_273,initial_pred_seed_286,refined_pred_seed_286,initial_pred_seed_61,refined_pred_seed_61,initial_pred_seed_807,refined_pred_seed_807,initial_pred_seed_283,refined_pred_seed_283,initial_pred_seed_127,refined_pred_seed_127,initial_pred_seed_165,refined_pred_seed_165,initial_pred_seed_952,refined_pred_seed_952,initial_pred_seed_311,refined_pred_seed_311,initial_pred_seed_597,refined_pred_seed_597,initial_pred_seed_473,refined_pred_seed_473,initial_pred_seed_594,refined_pred_seed_594,initial_pred_seed_605,refined_pred_seed_605,initial_pred_seed_101,refined_pred_seed_101
0,-1.3,-9.3,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,1,1,1,2,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,2,2,2,0,0,1,1,0,0,2,2,1,1,1,1,1,1
1,-0.600000000000001,-9.3,2,1,1,0,0,0,0,3,3,0,0,0,0,1,1,2,2,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,2,2,0,0,1,1,1,1,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,1,1,1,1
2,0.0999999999999996,-9.3,2,1,1,0,0,0,0,3,3,1,1,0,0,1,1,2,2,0,0,0,0,1,1,1,1,1,1,3,3,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1
3,0.799999999999999,-9.3,2,1,1,0,0,0,0,2,2,0,0,0,0,1,1,0,0,3,3,0,0,1,1,1,1,2,2,3,3,0,0,1,1,2,2,0,0,1,1,1,1,0,0,1,1,2,2,0,0,0,1,1,0,0,0,0,0,1,1,0,1
4,1.5,-9.3,2,0,0,0,0,0,0,2,2,1,0,1,0,1,1,0,0,2,3,0,0,0,0,3,1,2,2,3,3,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,2,0,0,2,2,0,0,0,0,0,0,3,1,1,1
5,2.2,-9.3,2,0,0,0,0,0,0,2,2,0,0,0,0,1,1,2,2,0,0,0,0,0,0,1,1,1,1,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,1,1,1,1
6,-3.4,-8.6,3,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,2,2,4,4,1,2,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,3,3,0,0,1,1,1,1,3,3,2,2
7,-2.7,-8.6,3,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,0,0,0,0,4,4,2,2,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,3,3,0,0,1,1,1,1,3,3,2,2
8,-2.0,-8.6,3,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,2,2,1,1,2,2,0,0,0,0,1,1,2,2,0,0,1,1,1,1,3,3,0,0,0,0,2,2,2,2,0,0,3,3,0,0,1,1,1,1,3,3,2,2
9,-1.3,-8.6,2,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,3,0,0,1,1,1,1,2,2,0,0,0,0,1,1,2,2,0,0,1,1,1,1,0,0,0,0,2,2,0,0,1,1,1,0,0,0,0,0,1,1,0,1
10,-0.600000000000001,-8.6,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,2,0,0,0,1,1,1,1
11,0.0999999999999996,-8.6,2,0,0,0,0,0,0,2,2,1,1,1,0,1,1,2,2,2,2,1,0,0,0,3,1,1,1,3,3,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,2,1,0,0,0,0,1,0,3,1,1,1
12,0.799999999999999,-8.6,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,1,0,1,2,2,0,0,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,2,0,0,1,1,0,0,2,2,0,0,1,1,1,1
13,1.5,-8.6,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,1,1,1,2,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,2,2,2,0,0,1,1,0,0,2,2,1,1,1,1,1,1
14,2.2,-8.6,2,1,1,0,0,0,0,3,3,0,0,0,0,1,1,2,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,2,2,2,0,0,1,1,0,0,2,2,1,1,1,1,1,1
15,2.9,-8.6,2,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,2,3,3,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1
16,3.6,-8.6,2,0,0,0,0,0,0,1,2,1,0,1,1,1,1,0,0,2,0,1,0,2,0,0,1,2,2,3,3,2,1,0,0,1,0,1,1,0,1,0,0,1,0,2,2,1,2,0,0,3,0,0,0,1,0,1,1,3,3,2,1
17,4.3,-8.6,2,0,0,0,0,0,0,2,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,2,2,3,3,1,1,0,0,0,0,1,1,3,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,3,1,1
18,-4.1,-7.9,3,0,0,0,0,2,0,1,1,0,1,1,1,1,1,1,1,0,4,0,1,0,0,0,0,0,0,4,4,2,2,0,0,3,1,1,1,3,0,1,0,0,1,1,1,0,1,0,0,3,3,1,0,0,1,0,1,3,3,2,2
19,-3.4,-7.9,3,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,4,4,1,1,2,2,0,0,0,0,4,4,2,2,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,3,3,0,0,1,1,1,1,2,2,2,2
