barcode,x,y,original_cluster,original_spatial_cluster,mclust_seed_141,mclust_seed_549,mclust_seed_75,mclust_seed_492,mclust_seed_676,mclust_seed_179,mclust_seed_587,mclust_seed_592,mclust_seed_601,mclust_seed_916,mclust_seed_518,mclust_seed_339,mclust_seed_921,mclust_seed_423,mclust_seed_330,mclust_seed_388,mclust_seed_273,mclust_seed_286,mclust_seed_61,mclust_seed_807,mclust_seed_283,mclust_seed_127,mclust_seed_165,mclust_seed_952,mclust_seed_311,mclust_seed_597,mclust_seed_473,mclust_seed_594,mclust_seed_605,mclust_seed_101
0,-1.3,-9.3,2,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1
1,-0.600000000000001,-9.3,2,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1
2,0.0999999999999996,-9.3,2,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1
3,0.799999999999999,-9.3,2,2,2,1,1,1,1,2,1,1,1,2,2,1,2,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1
4,1.5,-9.3,2,2,2,1,1,1,2,2,1,1,1,2,2,1,1,2,1,2,1,3,3,1,1,2,2,2,2,1,1,2,1,1
5,2.2,-9.3,2,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,1,3,1,1,1,1,2,2,2,1,1,2,1,1
6,-3.4,-8.6,3,3,1,3,2,2,3,2,3,2,3,2,1,2,1,2,2,2,3,1,3,2,3,2,1,1,1,3,2,3,1,3
7,-2.7,-8.6,3,3,1,3,2,2,3,2,3,2,3,2,1,2,1,2,2,2,3,1,3,2,3,2,1,1,1,3,2,3,1,3
8,-2.0,-8.6,3,3,2,1,1,2,3,2,3,1,3,2,1,1,1,2,2,2,1,1,3,2,1,2,1,3,1,1,1,3,1,2
9,-1.3,-8.6,2,2,2,2,1,1,1,2,1,1,2,3,2,3,2,1,1,2,1,2,2,1,1,1,3,1,3,2,3,1,1,1
10,-0.600000000000001,-8.6,2,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1
11,0.0999999999999996,-8.6,2,2,2,1,1,1,1,2,1,1,1,2,2,1,1,2,1,2,1,1,3,1,1,2,2,1,2,1,1,1,1,2
12,0.799999999999999,-8.6,2,2,3,2,1,1,1,2,2,1,2,3,2,1,2,1,1,2,2,2,2,1,2,1,2,1,3,2,3,1,1,1
13,1.5,-8.6,2,2,2,1,1,1,2,2,1,1,1,2,2,1,2,1,1,2,1,2,1,1,1,1,2,2,2,1,1,2,1,1
14,2.2,-8.6,2,2,2,1,1,1,2,2,1,1,1,2,2,1,1,2,1,2,1,3,1,1,1,2,2,2,2,1,1,2,1,1
15,2.9,-8.6,2,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,1,3,1,1,1,1,2,2,2,1,1,2,1,1
16,3.6,-8.6,2,2,2,1,1,1,2,2,1,1,1,2,2,1,1,2,1,2,1,3,3,1,1,2,2,2,2,1,1,2,1,1
17,4.3,-8.6,2,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,1,3,1,1,1,1,2,2,2,1,1,2,1,1
18,-4.1,-7.9,3,3,1,3,2,2,3,2,3,2,3,2,1,2,2,1,2,2,3,2,1,2,3,1,1,1,1,3,2,3,1,3
19,-3.4,-7.9,3,3,1,3,2,2,3,2,3,2,3,2,1,2,1,2,2,2,3,1,3,2,3,2,1,1,1,3,2,3,1,3
20,-2.7,-7.9,3,3,1,3,2,2,3,2,3,2,3,2,1,2,1,2,2,2,3,1,3,2,3,2,1,1,1,3,2,3,1,3
21,-2.0,-7.9,3,3,2,1,1,2,3,2,1,1,3,2,1,1,1,2,2,2,1,1,3,1,1,2,1,1,1,1,1,3,1,2
22,-1.3,-7.9,2,2,2,1,1,1,1,2,1,1,1,2,2,1,2,1,1,2,1,1,3,1,1,2,2,1,2,1,1,1,1,2
23,-0.600000000000001,-7.9,2,2,2,1,1,1,1,2,1,1,1,3,2,1,2,1,1,2,1,2,1,1,1,1,3,1,2,2,1,1,1,1
24,0.0999999999999996,-7.9,2,2,2,1,1,1,1,2,1,1,1,2,2,1,2,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1
25,0.799999999999999,-7.9,2,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,1,3,1,1,1,1,2,2,2,1,1,2,1,1
26,1.5,-7.9,2,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,1,3,1,1,1,1,2,2,2,1,1,2,1,1
27,2.2,-7.9,2,2,1,1,1,1,2,2,1,1,1,3,2,1,1,1,1,2,1,3,2,1,1,1,2,2,3,1,1,2,1,1
28,2.9,-7.9,2,2,3,2,1,1,2,2,2,1,2,3,2,1,2,1,1,2,2,3,2,1,2,1,3,2,2,2,3,2,1,1
