barcode,x,y,original_cluster,mclust_seed_141,mclust_seed_549,mclust_seed_75,mclust_seed_492,mclust_seed_676,mclust_seed_179,mclust_seed_587,mclust_seed_592,mclust_seed_601,mclust_seed_916,mclust_seed_518,mclust_seed_339,mclust_seed_921,mclust_seed_423,mclust_seed_330,mclust_seed_388,mclust_seed_273,mclust_seed_286,mclust_seed_61,mclust_seed_807,mclust_seed_283,mclust_seed_127,mclust_seed_165,mclust_seed_952,mclust_seed_311,mclust_seed_597,mclust_seed_473,mclust_seed_594,mclust_seed_605,mclust_seed_101
0,-0.1,-0.85,1,1,6,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1
1,0.05,-0.85,2,1,2,2,1,1,1,2,1,2,2,1,1,1,3,1,1,3,1,3,1,1,1,1,2,1,2,1,2,1,1
2,0.2,-0.85,2,1,1,3,1,2,1,3,1,2,1,1,2,1,3,3,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1
3,0.35,-0.85,2,1,2,3,3,3,1,3,3,2,2,2,2,1,3,3,2,3,1,3,1,3,1,2,2,1,2,2,3,1,1
4,0.5,-0.85,2,1,3,3,3,2,1,3,3,3,3,2,2,2,3,3,2,4,3,1,2,3,1,2,2,1,2,2,3,1,1
5,0.65,-0.85,2,1,3,3,3,4,1,3,3,3,3,2,2,2,4,3,2,4,3,4,2,3,1,2,3,1,2,2,3,3,2
6,0.8,-0.85,2,3,3,3,3,4,2,3,3,3,3,2,2,2,3,4,2,4,3,4,3,3,2,2,3,1,2,2,3,3,2
7,0.95,-0.85,2,3,3,3,3,4,2,3,3,4,3,2,2,2,3,4,2,4,3,4,3,3,3,3,3,3,2,2,3,3,2
8,1.1,-0.85,2,3,3,4,3,4,3,3,3,4,3,4,2,2,3,4,2,4,3,4,3,3,3,3,3,3,2,2,3,3,2
9,1.25,-0.85,2,3,3,4,3,4,3,3,3,4,3,4,2,2,3,4,3,4,3,4,3,3,3,3,3,3,2,2,3,3,2
10,1.4,-0.85,3,3,4,4,3,4,3,3,3,4,4,4,2,2,2,4,2,4,3,4,3,3,3,3,3,3,2,2,3,3,2
11,1.55,-0.85,3,3,3,4,4,4,3,3,4,4,4,4,2,4,2,4,2,4,3,4,3,4,3,3,3,3,2,2,4,3,3
12,1.7,-0.85,3,3,3,4,4,4,3,3,4,4,4,4,4,4,3,4,2,4,4,4,3,4,3,3,3,3,2,2,4,4,3
13,1.85,-0.85,4,3,3,5,4,4,2,5,4,3,4,5,4,4,5,5,2,4,4,4,3,4,3,3,3,3,3,3,4,4,3
14,2.0,-0.85,4,3,3,4,4,4,2,5,4,4,4,4,4,4,5,5,2,4,4,4,3,4,3,3,3,3,3,3,4,4,3
15,2.15,-0.85,4,3,3,4,4,4,3,1,4,4,4,4,4,4,2,5,2,4,4,4,3,4,3,3,3,3,2,3,4,4,3
16,2.3,-0.85,4,3,3,3,5,4,2,5,4,3,4,5,4,4,5,5,2,4,4,4,3,4,3,3,2,3,3,3,4,4,3
17,2.45,-0.85,2,2,6,3,2,4,4,1,4,1,3,3,2,4,4,3,2,3,1,3,2,4,2,2,1,2,1,1,4,2,3
18,2.6,-0.85,2,2,2,3,2,3,4,1,3,1,3,2,2,4,2,3,2,3,1,3,1,3,2,2,1,2,1,3,4,2,2
19,2.75,-0.85,2,2,1,3,2,3,4,1,3,1,3,2,2,2,3,3,2,3,1,3,1,3,2,2,1,2,1,1,3,2,2
20,2.9,-0.85,2,2,1,3,2,3,4,1,3,1,3,2,2,3,2,3,2,3,1,3,1,3,2,2,1,2,1,1,3,2,2
21,3.05,-0.85,2,2,1,3,2,3,4,1,3,1,3,2,2,3,4,3,3,3,1,3,1,3,2,2,1,2,1,1,3,2,2
22,-0.4,-0.7,1,4,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,1,4,2,1,1
23,-0.25,-0.7,1,4,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,1,4,2,1,1
24,-0.1,-0.7,2,4,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,4,1,2,4,1,1,2,1,1
25,0.05,-0.7,2,1,1,2,1,1,1,2,1,2,1,1,1,1,3,1,1,3,1,3,1,1,1,1,2,1,2,1,2,1,1
26,0.2,-0.7,2,1,2,2,1,1,1,2,1,2,2,1,1,1,3,3,1,3,1,3,1,1,1,1,2,1,2,1,2,1,1
27,0.35,-0.7,3,1,2,3,1,3,1,4,3,2,2,2,2,1,3,3,1,3,1,3,1,3,1,1,2,1,3,3,3,1,1
28,0.5,-0.7,3,1,3,3,3,3,1,3,3,3,3,2,2,2,3,3,2,4,3,3,2,3,1,2,3,1,2,2,3,1,1
29,0.65,-0.7,3,1,3,3,3,4,1,3,3,3,3,2,2,2,3,4,2,4,3,4,2,3,1,2,3,1,2,2,3,3,2
30,0.8,-0.7,2,3,3,3,3,4,2,3,3,3,3,2,2,2,3,4,2,4,3,4,2,3,1,2,3,1,2,2,3,3,2
31,0.95,-0.7,2,3,3,4,3,4,3,3,3,4,3,4,2,2,3,4,2,4,3,4,3,3,3,3,3,3,2,2,3,3,2
32,1.1,-0.7,3,3,4,4,3,4,3,3,3,4,3,4,2,2,3,4,2,4,3,4,3,3,3,3,3,3,2,2,3,3,2
33,1.25,-0.7,3,3,3,4,3,4,3,3,3,4,3,4,2,2,4,4,3,4,3,4,3,3,3,3,3,3,2,2,3,3,2
34,1.4,-0.7,3,3,4,4,3,4,3,3,3,4,4,4,2,2,3,4,2,4,3,4,3,3,3,3,3,3,3,2,3,3,2
35,1.55,-0.7,3,3,3,4,4,4,3,3,4,4,4,4,2,4,3,4,2,4,4,4,3,4,3,3,3,3,2,2,4,3,3
36,1.7,-0.7,4,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,2,4,4,4,3,4,3,3,3,3,2,2,4,4,3
37,1.85,-0.7,4,3,3,5,5,4,2,4,4,3,4,5,4,4,5,2,4,4,4,4,3,4,3,4,3,3,3,3,4,5,3
38,2.0,-0.7,5,3,3,4,4,4,2,5,4,4,4,4,4,4,5,5,2,4,4,4,3,4,3,3,3,3,3,3,4,4,3
39,2.15,-0.7,5,3,3,4,5,4,2,5,4,3,4,5,4,4,5,5,2,4,4,4,3,4,3,3,2,3,3,3,4,4,3
40,2.3,-0.7,5,3,3,3,5,4,2,5,4,3,4,5,4,4,5,5,2,4,4,4,3,4,3,3,2,3,3,3,4,4,3
41,2.45,-0.7,5,2,2,3,5,4,4,5,4,3,4,5,2,4,5,5,2,3,4,3,2,4,2,2,2,2,3,3,4,4,3
42,2.6,-0.7,5,2,2,3,2,3,4,5,3,3,4,5,2,4,3,5,2,3,4,3,1,3,2,2,2,2,3,3,4,4,2
43,2.75,-0.7,2,2,1,3,2,3,4,1,3,1,3,2,2,2,3,3,3,3,1,3,1,3,2,2,1,2,1,1,3,2,2
44,2.9,-0.7,2,2,1,3,2,3,4,1,3,1,3,2,2,3,4,3,3,3,1,3,1,3,2,2,1,2,1,1,3,2,2
45,3.05,-0.7,2,2,1,3,2,3,4,1,3,1,3,2,2,2,2,3,2,3,1,3,1,3,2,2,1,2,1,1,3,2,2
46,3.2,-0.7,2,2,1,3,2,3,4,1,3,1,3,2,2,2,3,3,2,3,1,3,1,3,2,2,1,2,1,1,3,2,2
47,-0.55,-0.55,1,4,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,1,4,2,1,1
48,-0.4,-0.55,1,4,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,1,4,2,1,1
49,-0.25,-0.55,2,4,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,1,4,2,1,1
50,-0.1,-0.55,2,4,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,4,1,4,4,1,4,2,1,1
51,0.05,-0.55,3,1,2,2,1,1,1,2,1,2,2,1,1,1,3,1,1,3,1,3,1,1,1,1,2,1,3,3,2,1,1
52,0.2,-0.55,3,1,1,2,1,1,1,3,1,2,1,1,1,1,4,3,1,3,1,3,1,1,1,1,2,1,2,1,2,1,1
53,0.35,-0.55,3,1,2,3,3,3,1,3,3,2,2,2,2,1,3,3,2,3,1,3,1,3,1,2,2,1,2,3,3,1,1
54,0.5,-0.55,3,1,3,3,3,3,1,3,3,3,3,2,2,2,2,3,2,4,3,3,2,3,1,2,3,1,2,2,3,1,1
55,0.65,-0.55,3,1,3,3,3,4,1,3,3,3,3,2,2,2,3,4,2,4,3,4,2,3,1,2,3,1,2,2,3,3,2
56,0.8,-0.55,3,3,3,3,3,4,2,3,3,3,3,2,2,2,3,4,2,4,3,4,2,3,1,2,3,1,2,2,3,3,2
57,0.95,-0.55,3,3,3,4,3,4,3,3,3,4,3,4,2,2,3,4,2,4,3,4,3,3,3,3,3,3,2,2,3,3,2
58,1.1,-0.55,3,3,3,4,3,4,3,3,3,4,3,4,2,2,3,4,2,4,3,4,3,3,3,3,3,3,2,2,3,3,2
59,1.25,-0.55,3,3,3,4,3,4,3,3,3,4,4,4,2,2,3,4,2,4,3,4,3,3,3,3,3,3,2,2,3,3,2
60,1.4,-0.55,3,3,3,4,3,4,3,3,3,4,4,4,2,2,3,4,2,4,3,4,3,3,3,3,3,3,2,2,3,3,2
61,1.55,-0.55,4,3,3,4,4,4,3,4,4,4,4,4,2,4,5,4,2,4,4,4,3,4,3,3,3,3,3,2,4,3,3
62,1.7,-0.55,4,3,3,4,4,4,3,3,4,4,4,4,4,4,2,4,2,4,4,4,3,4,3,3,3,3,2,2,4,4,3
63,1.85,-0.55,4,3,3,4,4,4,3,3,4,4,4,4,4,4,2,5,2,4,4,4,3,4,3,3,3,3,2,2,4,4,3
